kanji,back,tags
魚,<b>Meanings:</b> fish<br><br><b>On'yomi:</b> ギョ<br><br><b>Kun'yomi:</b> うお; さかな; -ざかな<br><br><b>Name readings:</b> い<br><br><b>Stats:</b> Strokes: 11 | Radical: 195 | Freq: #1208<br><br><b>Heisig:</b> RTK: #171 | RTK6: #183,grade2
金,<b>Meanings:</b> gold<br><br><b>On'yomi:</b> キン; コン; ゴン<br><br><b>Kun'yomi:</b> かね; かな-; -がね<br><br><b>Name readings:</b> かん; きむ; こ; この; ん<br><br><b>Stats:</b> Strokes: 8 | Radical: 167 | Freq: #53<br><br><b>Heisig:</b> RTK: #269 | RTK6: #287,grade1
九,<b>Meanings:</b> nine<br><br><b>On'yomi:</b> キュウ; ク<br><br><b>Kun'yomi:</b> ここの; ここの.つ<br><br><b>Name readings:</b> いちじく; いちのく; この; ひさし<br><br><b>Stats:</b> Strokes: 2 | Radical: 5 | Freq: #55<br><br><b>Heisig:</b> RTK: #9 | RTK6: #9,grade1
空,<b>Meanings:</b> empty; sky; void; vacant; vacuum<br><br><b>On'yomi:</b> クウ<br><br><b>Kun'yomi:</b> そら; あ.く; あ.き; あ.ける; から; す.く; す.かす; むな.しい<br><br><b>Name readings:</b> うつ; き; く<br><br><b>Stats:</b> Strokes: 8 | Radical: 116 | Freq: #304<br><br><b>Heisig:</b> RTK: #1317 | RTK6: #1414,grade1
月,<b>Meanings:</b> month; moon<br><br><b>On'yomi:</b> ゲツ; ガツ<br><br><b>Kun'yomi:</b> つき<br><br><b>Name readings:</b> おと; がっ; す; ずき; もり<br><br><b>Stats:</b> Strokes: 4 | Radical: 74 | Freq: #23<br><br><b>Heisig:</b> RTK: #13 | RTK6: #13,grade1
見,<b>Meanings:</b> see; hopes; chances; idea; opinion; look at; visible<br><br><b>On'yomi:</b> ケン<br><br><b>Kun'yomi:</b> み.る; み.える; み.せる<br><br><b>Stats:</b> Strokes: 7 | Radical: 147 | Freq: #22<br><br><b>Heisig:</b> RTK: #57 | RTK6: #61,grade1
言,<b>Meanings:</b> say; word<br><br><b>On'yomi:</b> ゲン; ゴン<br><br><b>Kun'yomi:</b> い.う; こと<br><br><b>Name readings:</b> とき<br><br><b>Stats:</b> Strokes: 7 | Radical: 149 | Freq: #83<br><br><b>Heisig:</b> RTK: #335 | RTK6: #357,grade2
古,<b>Meanings:</b> old<br><br><b>On'yomi:</b> コ<br><br><b>Kun'yomi:</b> ふる.い; ふる-; -ふる.す<br><br><b>Name readings:</b> ふゆ<br><br><b>Stats:</b> Strokes: 5 | Radical: 30 | Freq: #509<br><br><b>Heisig:</b> RTK: #16 | RTK6: #16,grade2
五,<b>Meanings:</b> five<br><br><b>On'yomi:</b> ゴ<br><br><b>Kun'yomi:</b> いつ; いつ.つ<br><br><b>Name readings:</b> い; さ; さつ; ち; ふ; み; め<br><br><b>Stats:</b> Strokes: 4 | Radical: 7 | Freq: #31<br><br><b>Heisig:</b> RTK: #5 | RTK6: #5,grade1
午,<b>Meanings:</b> noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac<br><br><b>On'yomi:</b> ゴ<br><br><b>Kun'yomi:</b> うま<br><br><b>Stats:</b> Strokes: 4 | Radical: 24 | Freq: #154<br><br><b>Heisig:</b> RTK: #568 | RTK6: #610,grade2
