kanji,back,tags
衣,<b>Meanings:</b> garment; clothes; dressing<br><br><b>On'yomi:</b> イ; エ<br><br><b>Kun'yomi:</b> ころも; きぬ; -ぎ<br><br><b>Stats:</b> Strokes: 6 | Radical: 145 | Freq: #1214<br><br><b>Heisig:</b> RTK: #396 | RTK6: #423,grade4
域,<b>Meanings:</b> range; region; limits; stage; level<br><br><b>On'yomi:</b> イキ<br><br><b>Stats:</b> Strokes: 11 | Radical: 32 | Freq: #396<br><br><b>Heisig:</b> RTK: #356 | RTK6: #380,grade6
育,<b>Meanings:</b> bring up; grow up; raise; rear<br><br><b>On'yomi:</b> イク<br><br><b>Kun'yomi:</b> そだ.つ; そだ.ち; そだ.てる; はぐく.む<br><br><b>Name readings:</b> やす<br><br><b>Stats:</b> Strokes: 8 | Radical: 130 | Freq: #369<br><br><b>Heisig:</b> RTK: #759 | RTK6: #821,grade3
印,<b>Meanings:</b> stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India<br><br><b>On'yomi:</b> イン<br><br><b>Kun'yomi:</b> しるし; -じるし; しる.す<br><br><b>Stats:</b> Strokes: 6 | Radical: 26 | Freq: #682<br><br><b>Heisig:</b> RTK: #1425 | RTK6: #1530,grade4
因,<b>Meanings:</b> cause; factor; be associated with; depend on; be limited to<br><br><b>On'yomi:</b> イン<br><br><b>Kun'yomi:</b> よ.る; ちな.む<br><br><b>Name readings:</b> て<br><br><b>Stats:</b> Strokes: 6 | Radical: 31 | Freq: #636<br><br><b>Heisig:</b> RTK: #583 | RTK6: #626,grade5
宇,<b>Meanings:</b> eaves; roof; house; heaven<br><br><b>On'yomi:</b> ウ<br><br><b>Name readings:</b> いえ; たか; ひろ; ひろし<br><br><b>Stats:</b> Strokes: 6 | Radical: 40 | Freq: #883<br><br><b>Heisig:</b> RTK: #1656 | RTK6: #1785,grade6
羽,"<b>Meanings:</b> feathers; counter for birds, rabbits<br><br><b>On'yomi:</b> ウ<br><br><b>Kun'yomi:</b> は; わ; はね<br><br><b>Name readings:</b> しゅう; ば<br><br><b>Stats:</b> Strokes: 6 | Radical: 124 | Freq: #748<br><br><b>Heisig:</b> RTK: #573 | RTK6: #615",grade2
雲,<b>Meanings:</b> cloud<br><br><b>On'yomi:</b> ウン<br><br><b>Kun'yomi:</b> くも; -ぐも<br><br><b>Name readings:</b> き; ずも; のめ<br><br><b>Stats:</b> Strokes: 12 | Radical: 173 | Freq: #1256<br><br><b>Heisig:</b> RTK: #423 | RTK6: #452,grade2
営,<b>Meanings:</b> camp; perform; build; conduct (business)<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> いとな.む; いとな.み<br><br><b>Stats:</b> Strokes: 12 | Radical: 30 | Freq: #303<br><br><b>Heisig:</b> RTK: #1034 | RTK6: #1111,grade5
栄,<b>Meanings:</b> flourish; prosperity; honor; glory; splendor<br><br><b>On'yomi:</b> エイ; ヨウ<br><br><b>Kun'yomi:</b> さか.える; は.え; -ば.え; は.える; え<br><br><b>Name readings:</b> さかえ; しげ; てる; なが; ひで; よし<br><br><b>Stats:</b> Strokes: 9 | Radical: 75 | Freq: #920<br><br><b>Heisig:</b> RTK: #326 | RTK6: #348,grade4
永,<b>Meanings:</b> eternity; long; lengthy<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> なが.い<br><br><b>Name readings:</b> え; と; のり; ひさ; ひさし<br><br><b>Stats:</b> Strokes: 5 | Radical: 85 | Freq: #846<br><br><b>Heisig:</b> RTK: #132 | RTK6: #139,grade5
泳,<b>Meanings:</b> swim<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> およ.ぐ<br><br><b>Stats:</b> Strokes: 8 | Radical: 85 | Freq: #1223<br><br><b>Heisig:</b> RTK: #136 | RTK6: #144,grade3
液,<b>Meanings:</b> fluid; liquid; juice; sap; secretion<br><br><b>On'yomi:</b> エキ<br><br><b>Stats:</b> Strokes: 11 | Radical: 85 | Freq: #1210<br><br><b>Heisig:</b> RTK: #1038 | RTK6: #1116,grade5
園,<b>Meanings:</b> park; garden; yard; farm<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> その<br><br><b>Name readings:</b> おん; ぞの<br><br><b>Stats:</b> Strokes: 13 | Radical: 31 | Freq: #628<br><br><b>Heisig:</b> RTK: #585 | RTK6: #629,grade2
延,<b>Meanings:</b> prolong; stretching<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> の.びる; の.べる; の.べ; の.ばす<br><br><b>Name readings:</b> たか; のぶ; のべ<br><br><b>Stats:</b> Strokes: 8 | Radical: 54 | Freq: #747<br><br><b>Heisig:</b> RTK: #392 | RTK6: #419,grade6
演,<b>Meanings:</b> performance; act; play; render; stage<br><br><b>On'yomi:</b> エン<br><br><b>Stats:</b> Strokes: 14 | Radical: 85 | Freq: #267<br><br><b>Heisig:</b> RTK: #2007 | RTK6: #2163,grade5
塩,<b>Meanings:</b> salt<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> しお<br><br><b>Stats:</b> Strokes: 13 | Radical: 32 | Freq: #1148<br><br><b>Heisig:</b> RTK: #1458 | RTK6: #1568,grade4
央,<b>Meanings:</b> center; middle<br><br><b>On'yomi:</b> オウ<br><br><b>Name readings:</b> あきら; え; お; さと; ちか; てる; なか; ひさ; ひろ; や<br><br><b>Stats:</b> Strokes: 5 | Radical: 37 | Freq: #582<br><br><b>Heisig:</b> RTK: #1740 | RTK6: #1877,grade3
応,<b>Meanings:</b> apply; answer; yes; OK; reply; accept<br><br><b>On'yomi:</b> オウ; ヨウ; -ノウ<br><br><b>Kun'yomi:</b> あた.る; まさに; こた.える<br><br><b>Name readings:</b> お; たか; まさ<br><br><b>Stats:</b> Strokes: 7 | Radical: 61 | Freq: #266<br><br><b>Heisig:</b> RTK: #607 | RTK6: #653,grade5
横,<b>Meanings:</b> sideways; side; horizontal; width; woof; unreasonable; perverse<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> よこ<br><br><b>Stats:</b> Strokes: 15 | Radical: 75 | Freq: #480<br><br><b>Heisig:</b> RTK: #1751 | RTK6: #1888,grade3
王,<b>Meanings:</b> king; rule; magnate<br><br><b>On'yomi:</b> オウ; -ノウ<br><br><b>Name readings:</b> おお; おおきみ; わ<br><br><b>Stats:</b> Strokes: 4 | Radical: 96 | Freq: #684<br><br><b>Heisig:</b> RTK: #255 | RTK6: #271,grade1
黄,<b>Meanings:</b> yellow<br><br><b>On'yomi:</b> コウ; オウ<br><br><b>Kun'yomi:</b> き; こ-<br><br><b>Name readings:</b> うい; れい<br><br><b>Stats:</b> Strokes: 11 | Radical: 201 | Freq: #1240<br><br><b>Heisig:</b> RTK: #1750 | RTK6: #1887,grade2
億,<b>Meanings:</b> hundred million; 10**8<br><br><b>On'yomi:</b> オク<br><br><b>Name readings:</b> お<br><br><b>Stats:</b> Strokes: 15 | Radical: 9 | Freq: #716<br><br><b>Heisig:</b> RTK: #983 | RTK6: #1058,grade4
温,<b>Meanings:</b> warm<br><br><b>On'yomi:</b> オン<br><br><b>Kun'yomi:</b> あたた.か; あたた.かい; あたた.まる; あたた.める; ぬく<br><br><b>Name readings:</b> あつ; あつし; なお; はる; ゆ; ゆたか<br><br><b>Stats:</b> Strokes: 12 | Radical: 85 | Freq: #838<br><br><b>Heisig:</b> RTK: #1452 | RTK6: #1560,grade3
化,<b>Meanings:</b> change; take the form of; influence; enchant; delude; -ization<br><br><b>On'yomi:</b> カ; ケ<br><br><b>Kun'yomi:</b> ば.ける; ば.かす; ふ.ける; け.する<br><br><b>Stats:</b> Strokes: 4 | Radical: 21 | Freq: #89<br><br><b>Heisig:</b> RTK: #1008 | RTK6: #1083,grade3
仮,<b>Meanings:</b> sham; temporary; interim; assumed (name); informal<br><br><b>On'yomi:</b> カ; ケ<br><br><b>Kun'yomi:</b> かり; かり-<br><br><b>Stats:</b> Strokes: 6 | Radical: 9 | Freq: #1039<br><br><b>Heisig:</b> RTK: #966 | RTK6: #1039,grade5
価,<b>Meanings:</b> value; price<br><br><b>On'yomi:</b> カ; ケ<br><br><b>Kun'yomi:</b> あたい<br><br><b>Stats:</b> Strokes: 8 | Radical: 9 | Freq: #250<br><br><b>Heisig:</b> RTK: #1603 | RTK6: #1729,grade5
加,<b>Meanings:</b> add; addition; increase; join; include; Canada<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> くわ.える; くわ.わる<br><br><b>Stats:</b> Strokes: 5 | Radical: 19 | Freq: #130<br><br><b>Heisig:</b> RTK: #867 | RTK6: #932,grade4
可,<b>Meanings:</b> can; passable; approval<br><br><b>On'yomi:</b> カ; コク<br><br><b>Kun'yomi:</b> -べ.き; -べ.し<br><br><b>Name readings:</b> よし<br><br><b>Stats:</b> Strokes: 5 | Radical: 30 | Freq: #314<br><br><b>Heisig:</b> RTK: #93 | RTK6: #97,grade5
科,<b>Meanings:</b> department; course; section<br><br><b>On'yomi:</b> カ<br><br><b>Name readings:</b> しな<br><br><b>Stats:</b> Strokes: 9 | Radical: 115 | Freq: #531<br><br><b>Heisig:</b> RTK: #1179 | RTK6: #1263,grade2
果,<b>Meanings:</b> fruit; reward; carry out; achieve; complete; end; finish; succeed<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> は.たす; はた.す; -は.たす; は.てる; -は.てる; は.て<br><br><b>Name readings:</b> み<br><br><b>Stats:</b> Strokes: 8 | Radical: 75 | Freq: #258<br><br><b>Heisig:</b> RTK: #1121 | RTK6: #1202,grade4
河,<b>Meanings:</b> river<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> かわ<br><br><b>Name readings:</b> かっ; こ; こう<br><br><b>Stats:</b> Strokes: 8 | Radical: 85 | Freq: #663<br><br><b>Heisig:</b> RTK: #146 | RTK6: #157,grade5
荷,<b>Meanings:</b> baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> に<br><br><b>Name readings:</b> はす; り<br><br><b>Stats:</b> Strokes: 10 | Radical: 140 | Freq: #1230<br><br><b>Heisig:</b> RTK: #1013 | RTK6: #1088,grade3
課,<b>Meanings:</b> chapter; lesson; section; department; division; counter for chapters (of a book)<br><br><b>On'yomi:</b> カ<br><br><b>Stats:</b> Strokes: 15 | Radical: 149 | Freq: #455<br><br><b>Heisig:</b> RTK: #1123 | RTK6: #1204,grade4
貨,<b>Meanings:</b> freight; goods; property<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> たから<br><br><b>Stats:</b> Strokes: 11 | Radical: 154 | Freq: #822<br><br><b>Heisig:</b> RTK: #1010 | RTK6: #1085,grade4
過,<b>Meanings:</b> overdo; exceed; go beyond; error<br><br><b>On'yomi:</b> カ<br><br><b>Kun'yomi:</b> す.ぎる; す.ごす; あやま.ち; あやま.つ; よぎ.る; よ.ぎる<br><br><b>Stats:</b> Strokes: 12 | Radical: 162 | Freq: #285<br><br><b>Heisig:</b> RTK: #1293 | RTK6: #1389,grade5
解,<b>Meanings:</b> unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute<br><br><b>On'yomi:</b> カイ; ゲ<br><br><b>Kun'yomi:</b> と.く; と.かす; と.ける; ほど.く; ほぐ.す; わか.る; さと.る<br><br><b>Name readings:</b> さとる; とけ<br><br><b>Stats:</b> Strokes: 13 | Radical: 148 | Freq: #176<br><br><b>Heisig:</b> RTK: #1814 | RTK6: #1955,grade5
快,<b>Meanings:</b> cheerful; pleasant; agreeable; comfortable<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> こころよ.い<br><br><b>Name readings:</b> よし<br><br><b>Stats:</b> Strokes: 7 | Radical: 61 | Freq: #1074<br><br><b>Heisig:</b> RTK: #1642 | RTK6: #1771,grade5
改,<b>Meanings:</b> reformation; change; modify; mend; renew; examine; inspect; search<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> あらた.める; あらた.まる<br><br><b>Stats:</b> Strokes: 7 | Radical: 66 | Freq: #147<br><br><b>Heisig:</b> RTK: #528 | RTK6: #567,grade4
械,<b>Meanings:</b> contraption; fetter; machine; instrument<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> かせ<br><br><b>Stats:</b> Strokes: 11 | Radical: 75 | Freq: #1321<br><br><b>Heisig:</b> RTK: #677 | RTK6: #732,grade4
灰,<b>Meanings:</b> ashes; puckery juice; cremate<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> はい<br><br><b>Stats:</b> Strokes: 6 | Radical: 86 | Freq: #1717<br><br><b>Heisig:</b> RTK: #168 | RTK6: #180,grade6
絵,<b>Meanings:</b> picture; drawing; painting; sketch<br><br><b>On'yomi:</b> カイ; エ<br><br><b>Stats:</b> Strokes: 12 | Radical: 120 | Freq: #895<br><br><b>Heisig:</b> RTK: #1346 | RTK6: #1446,grade2
階,<b>Meanings:</b> storey; stair; counter for storeys of a building<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> きざはし<br><br><b>Name readings:</b> しな; と; はし<br><br><b>Stats:</b> Strokes: 12 | Radical: 170 | Freq: #513<br><br><b>Heisig:</b> RTK: #1309 | RTK6: #1406,grade3
貝,<b>Meanings:</b> shellfish<br><br><b>On'yomi:</b> バイ<br><br><b>Kun'yomi:</b> かい<br><br><b>Stats:</b> Strokes: 7 | Radical: 154 | Freq: #1787<br><br><b>Heisig:</b> RTK: #54 | RTK6: #56,grade1
害,<b>Meanings:</b> harm; injury<br><br><b>On'yomi:</b> ガイ<br><br><b>Stats:</b> Strokes: 10 | Radical: 40 | Freq: #358<br><br><b>Heisig:</b> RTK: #1551 | RTK6: #1671,grade4
各,<b>Meanings:</b> each; every; either<br><br><b>On'yomi:</b> カク<br><br><b>Kun'yomi:</b> おのおの<br><br><b>Name readings:</b> かか; かが<br><br><b>Stats:</b> Strokes: 6 | Radical: 30 | Freq: #243<br><br><b>Heisig:</b> RTK: #291 | RTK6: #311,grade4
拡,<b>Meanings:</b> broaden; extend; expand; enlarge<br><br><b>On'yomi:</b> カク; コウ<br><br><b>Kun'yomi:</b> ひろ.がる; ひろ.げる; ひろ.める<br><br><b>Stats:</b> Strokes: 8 | Radical: 64 | Freq: #611<br><br><b>Heisig:</b> RTK: #740 | RTK6: #801,grade6
格,"<b>Meanings:</b> status; rank; capacity; character; case (law, grammar)<br><br><b>On'yomi:</b> カク; コウ; キャク; ゴウ<br><br><b>Name readings:</b> いたる; のり<br><br><b>Stats:</b> Strokes: 10 | Radical: 75 | Freq: #281<br><br><b>Heisig:</b> RTK: #292 | RTK6: #312",grade5
確,<b>Meanings:</b> assurance; firm; tight; hard; solid; confirm; clear; evident<br><br><b>On'yomi:</b> カク; コウ<br><br><b>Kun'yomi:</b> たし.か; たし.かめる<br><br><b>Stats:</b> Strokes: 15 | Radical: 112 | Freq: #252<br><br><b>Heisig:</b> RTK: #567 | RTK6: #609,grade5
覚,<b>Meanings:</b> memorize; learn; remember; awake; sober up<br><br><b>On'yomi:</b> カク<br><br><b>Kun'yomi:</b> おぼ.える; さ.ます; さ.める; さと.る<br><br><b>Stats:</b> Strokes: 12 | Radical: 147 | Freq: #710<br><br><b>Heisig:</b> RTK: #325 | RTK6: #347,grade4
角,<b>Meanings:</b> angle; corner; square; horn; antlers<br><br><b>On'yomi:</b> カク<br><br><b>Kun'yomi:</b> かど; つの<br><br><b>Name readings:</b> い; す; すみ; ずみ; ふさ<br><br><b>Stats:</b> Strokes: 7 | Radical: 148 | Freq: #805<br><br><b>Heisig:</b> RTK: #1812 | RTK6: #1953,grade2
革,<b>Meanings:</b> leather; skin; reform; become serious<br><br><b>On'yomi:</b> カク<br><br><b>Kun'yomi:</b> かわ<br><br><b>Stats:</b> Strokes: 9 | Radical: 177 | Freq: #249<br><br><b>Heisig:</b> RTK: #1893 | RTK6: #2041,grade6
額,<b>Meanings:</b> forehead; tablet; plaque; framed picture; sum; amount; volume<br><br><b>On'yomi:</b> ガク<br><br><b>Kun'yomi:</b> ひたい<br><br><b>Name readings:</b> ぬか<br><br><b>Stats:</b> Strokes: 18 | Radical: 181 | Freq: #407<br><br><b>Heisig:</b> RTK: #295 | RTK6: #316,grade5
割,<b>Meanings:</b> proportion; comparatively; divide; cut; separate; split<br><br><b>On'yomi:</b> カツ<br><br><b>Kun'yomi:</b> わ.る; わり; わ.り; わ.れる; さ.く<br><br><b>Stats:</b> Strokes: 12 | Radical: 18 | Freq: #318<br><br><b>Heisig:</b> RTK: #1553 | RTK6: #1673,grade6
活,<b>Meanings:</b> lively; resuscitation; being helped; living<br><br><b>On'yomi:</b> カツ<br><br><b>Kun'yomi:</b> い.きる; い.かす; い.ける<br><br><b>Stats:</b> Strokes: 9 | Radical: 85 | Freq: #171<br><br><b>Heisig:</b> RTK: #143 | RTK6: #154,grade2
刊,<b>Meanings:</b> publish; carve; engrave<br><br><b>On'yomi:</b> カン<br><br><b>Stats:</b> Strokes: 5 | Radical: 18 | Freq: #855<br><br><b>Heisig:</b> RTK: #1650 | RTK6: #1779,grade5
巻,<b>Meanings:</b> scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls)<br><br><b>On'yomi:</b> カン; ケン<br><br><b>Kun'yomi:</b> ま.く; まき; ま.き<br><br><b>Stats:</b> Strokes: 9 | Radical: 49 | Freq: #944<br><br><b>Heisig:</b> RTK: #1207 | RTK6: #1292,grade6
完,<b>Meanings:</b> perfect; completion; end<br><br><b>On'yomi:</b> カン<br><br><b>Stats:</b> Strokes: 7 | Radical: 40 | Freq: #595<br><br><b>Heisig:</b> RTK: #187 | RTK6: #199,grade4
官,<b>Meanings:</b> bureaucrat; the government; organ<br><br><b>On'yomi:</b> カン<br><br><b>Stats:</b> Strokes: 8 | Radical: 40 | Freq: #230<br><br><b>Heisig:</b> RTK: #1271 | RTK6: #1363,grade4
干,<b>Meanings:</b> dry; parch; ebb; recede; interfere; intercede<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> ほ.す; ほ.し-; -ぼ.し; ひ.る<br><br><b>Name readings:</b> ほし<br><br><b>Stats:</b> Strokes: 3 | Radical: 51 | Freq: #1349<br><br><b>Heisig:</b> RTK: #1648 | RTK6: #1777,grade6
感,<b>Meanings:</b> emotion; feeling; sensation<br><br><b>On'yomi:</b> カン<br><br><b>Stats:</b> Strokes: 13 | Radical: 61 | Freq: #233<br><br><b>Heisig:</b> RTK: #615 | RTK6: #662,grade3
慣,<b>Meanings:</b> accustomed; get used to; become experienced<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> な.れる; な.らす<br><br><b>Stats:</b> Strokes: 14 | Radical: 61 | Freq: #1177<br><br><b>Heisig:</b> RTK: #627 | RTK6: #674,grade5
看,<b>Meanings:</b> watch over; see<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> み.る<br><br><b>Stats:</b> Strokes: 9 | Radical: 109 | Freq: #1060<br><br><b>Heisig:</b> RTK: #638 | RTK6: #688,grade6
管,<b>Meanings:</b> pipe; tube; wind instrument; drunken talk; control; jurisdiction<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> くだ<br><br><b>Name readings:</b> すが<br><br><b>Stats:</b> Strokes: 14 | Radical: 118 | Freq: #517<br><br><b>Heisig:</b> RTK: #1273 | RTK6: #1365,grade4
簡,<b>Meanings:</b> simplicity; brevity<br><br><b>On'yomi:</b> カン; ケン<br><br><b>Kun'yomi:</b> えら.ぶ; ふだ<br><br><b>Stats:</b> Strokes: 18 | Radical: 118 | Freq: #983<br><br><b>Heisig:</b> RTK: #1621 | RTK6: #1749,grade6
観,<b>Meanings:</b> outlook; look; appearance; condition; view<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> み.る; しめ.す<br><br><b>Stats:</b> Strokes: 18 | Radical: 147 | Freq: #476<br><br><b>Heisig:</b> RTK: #572 | RTK6: #614,grade4
関,<b>Meanings:</b> connection; barrier; gateway; involve; concerning<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> せき; -ぜき; かか.わる; からくり; かんぬき<br><br><b>Stats:</b> Strokes: 14 | Radical: 169 | Freq: #70<br><br><b>Heisig:</b> RTK: #2017 | RTK6: #2173,grade4
丸,<b>Meanings:</b> round; full (month); perfection; -ship; pills; make round; roll up; curl up; seduce; explain away<br><br><b>On'yomi:</b> ガン<br><br><b>Kun'yomi:</b> まる; まる.める; まる.い<br><br><b>Name readings:</b> ま; わ; わに<br><br><b>Stats:</b> Strokes: 3 | Radical: 3 | Freq: #542<br><br><b>Heisig:</b> RTK: #44 | RTK6: #44,grade2
岸,<b>Meanings:</b> beach<br><br><b>On'yomi:</b> ガン<br><br><b>Kun'yomi:</b> きし<br><br><b>Name readings:</b> けし<br><br><b>Stats:</b> Strokes: 8 | Radical: 46 | Freq: #556<br><br><b>Heisig:</b> RTK: #1653 | RTK6: #1782,grade3
岩,<b>Meanings:</b> boulder; rock; cliff<br><br><b>On'yomi:</b> ガン<br><br><b>Kun'yomi:</b> いわ<br><br><b>Stats:</b> Strokes: 8 | Radical: 46 | Freq: #787<br><br><b>Heisig:</b> RTK: #770 | RTK6: #832,grade2
願,<b>Meanings:</b> petition; request; vow; wish; hope<br><br><b>On'yomi:</b> ガン<br><br><b>Kun'yomi:</b> ねが.う; -ねがい<br><br><b>Name readings:</b> ら<br><br><b>Stats:</b> Strokes: 19 | Radical: 181 | Freq: #894<br><br><b>Heisig:</b> RTK: #135 | RTK6: #143,grade4
危,<b>Meanings:</b> dangerous; fear; uneasy<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> あぶ.ない; あや.うい; あや.ぶむ<br><br><b>Stats:</b> Strokes: 6 | Radical: 26 | Freq: #606<br><br><b>Heisig:</b> RTK: #1416 | RTK6: #1520,grade6
喜,<b>Meanings:</b> rejoice; take pleasure in<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> よろこ.ぶ; よろこ.ばす<br><br><b>Name readings:</b> あき; きゅ; のぶ; ゆき; よし<br><br><b>Stats:</b> Strokes: 12 | Radical: 30 | Freq: #769<br><br><b>Heisig:</b> RTK: #1445 | RTK6: #1553,grade5
器,<b>Meanings:</b> utensil; vessel; receptacle; implement; instrument; ability; container; tool; set<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> うつわ<br><br><b>Stats:</b> Strokes: 15 | Radical: 30 | Freq: #525<br><br><b>Heisig:</b> RTK: #121 | RTK6: #127,grade4
基,<b>Meanings:</b> fundamentals; radical (chem); counter for machines; foundation<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> もと; もとい<br><br><b>Name readings:</b> きい; とも<br><br><b>Stats:</b> Strokes: 11 | Radical: 32 | Freq: #241<br><br><b>Heisig:</b> RTK: #1767 | RTK6: #1904,grade5
寄,<b>Meanings:</b> draw near; stop in; bring near; gather; collect; send; forward<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> よ.る; -よ.り; よ.せる<br><br><b>Name readings:</b> よせ; より; よろ<br><br><b>Stats:</b> Strokes: 11 | Radical: 40 | Freq: #673<br><br><b>Heisig:</b> RTK: #192 | RTK6: #204,grade5
希,<b>Meanings:</b> hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal<br><br><b>On'yomi:</b> キ; ケ<br><br><b>Kun'yomi:</b> まれ; こいねが.う<br><br><b>Name readings:</b> のぞ; のぞみ<br><br><b>Stats:</b> Strokes: 7 | Radical: 50 | Freq: #896<br><br><b>Heisig:</b> RTK: #1489 | RTK6: #1602,grade4
机,<b>Meanings:</b> desk; table<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> つくえ<br><br><b>Stats:</b> Strokes: 6 | Radical: 75 | Freq: #1671<br><br><b>Heisig:</b> RTK: #210 | RTK6: #223,grade6
期,<b>Meanings:</b> period; time; date; term<br><br><b>On'yomi:</b> キ; ゴ<br><br><b>Stats:</b> Strokes: 12 | Radical: 74 | Freq: #117<br><br><b>Heisig:</b> RTK: #1765 | RTK6: #1902,grade3
機,<b>Meanings:</b> loom; mechanism; machine; airplane; opportunity; potency; efficacy; occasion<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> はた<br><br><b>Stats:</b> Strokes: 16 | Radical: 75 | Freq: #127<br><br><b>Heisig:</b> RTK: #1382 | RTK6: #1482,grade4
