kanji,back,tags
愛,<b>Meanings:</b> love; affection; favourite<br><br><b>On'yomi:</b> アイ<br><br><b>Kun'yomi:</b> いと.しい; かな.しい; め.でる; お.しむ; まな<br><br><b>Name readings:</b> あ; あし; え; かな; なる; めぐ; めぐみ; よし; ちか<br><br><b>Stats:</b> Strokes: 13 | Radical: 61 | Freq: #640<br><br><b>Heisig:</b> RTK: #737 | RTK6: #796,grade4
圧,<b>Meanings:</b> pressure; push; overwhelm; oppress; dominate<br><br><b>On'yomi:</b> アツ; エン; オウ<br><br><b>Kun'yomi:</b> お.す; へ.す; おさ.える; お.さえる<br><br><b>Stats:</b> Strokes: 5 | Radical: 32 | Freq: #718<br><br><b>Heisig:</b> RTK: #152 | RTK6: #163,grade5
案,<b>Meanings:</b> plan; suggestion; draft; ponder; fear; proposition; idea; expectation; worry; table; bench<br><br><b>On'yomi:</b> アン<br><br><b>Kun'yomi:</b> つくえ<br><br><b>Stats:</b> Strokes: 10 | Radical: 75 | Freq: #206<br><br><b>Heisig:</b> RTK: #214 | RTK6: #227,grade4
位,<b>Meanings:</b> rank; grade; throne; crown; about; some<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> くらい; ぐらい<br><br><b>Name readings:</b> ぞき<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #276<br><br><b>Heisig:</b> RTK: #955 | RTK6: #1028,grade4
囲,<b>Meanings:</b> surround; besiege; store; paling; enclosure; encircle; preserve; keep<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> かこ.む; かこ.う; かこ.い<br><br><b>Stats:</b> Strokes: 7 | Radical: 31 | Freq: #771<br><br><b>Heisig:</b> RTK: #1807 | RTK6: #1948,grade5
委,<b>Meanings:</b> committee; entrust to; leave to; devote; discard<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> ゆだ.ねる<br><br><b>Name readings:</b> まかせ<br><br><b>Stats:</b> Strokes: 8 | Radical: 38 | Freq: #187<br><br><b>Heisig:</b> RTK: #913 | RTK6: #979,grade3
易,<b>Meanings:</b> easy; ready to; simple; fortune-telling; divination<br><br><b>On'yomi:</b> エキ; イ<br><br><b>Kun'yomi:</b> やさ.しい; やす.い<br><br><b>Stats:</b> Strokes: 8 | Radical: 72 | Freq: #571<br><br><b>Heisig:</b> RTK: #1051 | RTK6: #1130,grade5
異,<b>Meanings:</b> uncommon; different; queerness; strangeness; wonderful; curious; unusual<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> こと; こと.なる; け<br><br><b>Stats:</b> Strokes: 11 | Radical: 102 | Freq: #631<br><br><b>Heisig:</b> RTK: #1797 | RTK6: #1936,grade6
移,"<b>Meanings:</b> shift; move; change; drift; catch (cold, fire); pass into<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> うつ.る; うつ.す<br><br><b>Stats:</b> Strokes: 11 | Radical: 115 | Freq: #448<br><br><b>Heisig:</b> RTK: #898 | RTK6: #964",grade5
胃,<b>Meanings:</b> stomach; paunch; crop; craw<br><br><b>On'yomi:</b> イ<br><br><b>Stats:</b> Strokes: 9 | Radical: 130 | Freq: #1647<br><br><b>Heisig:</b> RTK: #29 | RTK6: #29,grade6
