kanji,back,tags
終,<b>Meanings:</b> end; finish<br><br><b>On'yomi:</b> シュウ<br><br><b>Kun'yomi:</b> お.わる; -お.わる; おわ.る; お.える; つい; つい.に<br><br><b>Name readings:</b> ばて<br><br><b>Stats:</b> Strokes: 11 | Radical: 120 | Freq: #256<br><br><b>Heisig:</b> RTK: #1352 | RTK6: #1452,grade3
習,<b>Meanings:</b> learn<br><br><b>On'yomi:</b> シュウ; ジュ<br><br><b>Kun'yomi:</b> なら.う; なら.い<br><br><b>Stats:</b> Strokes: 11 | Radical: 124 | Freq: #706<br><br><b>Heisig:</b> RTK: #574 | RTK6: #616,grade3
集,<b>Meanings:</b> gather; meet; congregate; swarm; flock<br><br><b>On'yomi:</b> シュウ<br><br><b>Kun'yomi:</b> あつ.まる; あつ.める; つど.う<br><br><b>Name readings:</b> あつまり; ず<br><br><b>Stats:</b> Strokes: 12 | Radical: 172 | Freq: #210<br><br><b>Heisig:</b> RTK: #559 | RTK6: #601,grade3
住,<b>Meanings:</b> dwell; reside; live; inhabit<br><br><b>On'yomi:</b> ジュウ; ヂュウ; チュウ<br><br><b>Kun'yomi:</b> す.む; す.まう; -ず.まい<br><br><b>Name readings:</b> し; じゅ; すみ<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #270<br><br><b>Heisig:</b> RTK: #954 | RTK6: #1027,grade3
重,<b>Meanings:</b> heavy; important; esteem; respect; heap up; pile up; nest of boxes; -fold<br><br><b>On'yomi:</b> ジュウ; チョウ<br><br><b>Kun'yomi:</b> え; おも.い; おも.り; おも.なう; かさ.ねる; かさ.なる; おも<br><br><b>Name readings:</b> さね; しげ; しげる<br><br><b>Stats:</b> Strokes: 9 | Radical: 166 | Freq: #193<br><br><b>Heisig:</b> RTK: #1675 | RTK6: #1805,grade3
春,<b>Meanings:</b> springtime; spring (season)<br><br><b>On'yomi:</b> シュン<br><br><b>Kun'yomi:</b> はる<br><br><b>Name readings:</b> あずま; かす; すの; ひ; わら<br><br><b>Stats:</b> Strokes: 9 | Radical: 72 | Freq: #579<br><br><b>Heisig:</b> RTK: #1568 | RTK6: #1690,grade2
所,<b>Meanings:</b> place; extent<br><br><b>On'yomi:</b> ショ<br><br><b>Kun'yomi:</b> ところ; -ところ; どころ; とこ<br><br><b>Name readings:</b> せ<br><br><b>Stats:</b> Strokes: 8 | Radical: 63 | Freq: #221<br><br><b>Heisig:</b> RTK: #1127 | RTK6: #1208,grade3
暑,<b>Meanings:</b> sultry; hot; summer heat<br><br><b>On'yomi:</b> ショ<br><br><b>Kun'yomi:</b> あつ.い<br><br><b>Stats:</b> Strokes: 12 | Radical: 72 | Freq: #1442<br><br><b>Heisig:</b> RTK: #1260 | RTK6: #1350,grade3
乗,<b>Meanings:</b> ride; power; multiplication; record; counter for vehicles; board; mount; join<br><br><b>On'yomi:</b> ジョウ; ショウ<br><br><b>Kun'yomi:</b> の.る; -の.り; の.せる<br><br><b>Name readings:</b> のり<br><br><b>Stats:</b> Strokes: 9 | Radical: 4 | Freq: #377<br><br><b>Heisig:</b> RTK: #1585 | RTK6: #1709,grade3
場,<b>Meanings:</b> location; place<br><br><b>On'yomi:</b> ジョウ; チョウ<br><br><b>Kun'yomi:</b> ば<br><br><b>Stats:</b> Strokes: 12 | Radical: 32 | Freq: #52<br><br><b>Heisig:</b> RTK: #545 | RTK6: #584,grade2
色,<b>Meanings:</b> color<br><br><b>On'yomi:</b> ショク; シキ<br><br><b>Kun'yomi:</b> いろ<br><br><b>Name readings:</b> しか; しこ<br><br><b>Stats:</b> Strokes: 6 | Radical: 139 | Freq: #621<br><br><b>Heisig:</b> RTK: #1753 | RTK6: #1890,grade2
心,<b>Meanings:</b> heart; mind; spirit; heart radical (no. 61)<br><br><b>On'yomi:</b> シン<br><br><b>Kun'yomi:</b> こころ; -ごころ<br><br><b>Stats:</b> Strokes: 4 | Radical: 61 | Freq: #157<br><br><b>Heisig:</b> RTK: #595 | RTK6: #639,grade2
森,<b>Meanings:</b> forest; woods<br><br><b>On'yomi:</b> シン<br><br><b>Kun'yomi:</b> もり<br><br><b>Name readings:</b> もと<br><br><b>Stats:</b> Strokes: 12 | Radical: 75 | Freq: #609<br><br><b>Heisig:</b> RTK: #197 | RTK6: #209,grade1
真,<b>Meanings:</b> true; reality; Buddhist sect<br><br><b>On'yomi:</b> シン<br><br><b>Kun'yomi:</b> ま; ま-; まこと<br><br><b>Name readings:</b> さな; さね; ただ; ただし; なお; のり; まあ; まこ; まさ; まっ; まど; まな; まゆ; みち; も<br><br><b>Stats:</b> Strokes: 10 | Radical: 109 | Freq: #279<br><br><b>Heisig:</b> RTK: #75 | RTK6: #79,grade3
親,<b>Meanings:</b> parent; intimacy; relative; familiarity; dealer (cards)<br><br><b>On'yomi:</b> シン<br><br><b>Kun'yomi:</b> おや; おや-; した.しい; した.しむ<br><br><b>Name readings:</b> ぎ; ちか; のり<br><br><b>Stats:</b> Strokes: 16 | Radical: 147 | Freq: #406<br><br><b>Heisig:</b> RTK: #1504 | RTK6: #1621,grade2
進,<b>Meanings:</b> advance; proceed; progress; promote<br><br><b>On'yomi:</b> シン<br><br><b>Kun'yomi:</b> すす.む; すす.める<br><br><b>Name readings:</b> のぶ<br><br><b>Stats:</b> Strokes: 11 | Radical: 162 | Freq: #142<br><br><b>Heisig:</b> RTK: #561 | RTK6: #603,grade3
図,<b>Meanings:</b> map; drawing; plan; extraordinary; audacious<br><br><b>On'yomi:</b> ズ; ト<br><br><b>Kun'yomi:</b> え; はか.る<br><br><b>Name readings:</b> づ<br><br><b>Stats:</b> Strokes: 7 | Radical: 31 | Freq: #539<br><br><b>Heisig:</b> RTK: #1180 | RTK6: #1264,grade2
世,<b>Meanings:</b> generation; world; society; public<br><br><b>On'yomi:</b> セイ; セ; ソウ<br><br><b>Kun'yomi:</b> よ<br><br><b>Name readings:</b> とし; ゆ; ゆき<br><br><b>Stats:</b> Strokes: 5 | Radical: 1 | Freq: #135<br><br><b>Heisig:</b> RTK: #28 | RTK6: #28,grade3
正,<b>Meanings:</b> correct; justice; righteous; 10**40<br><br><b>On'yomi:</b> セイ; ショウ<br><br><b>Kun'yomi:</b> ただ.しい; ただ.す; まさ; まさ.に<br><br><b>Name readings:</b> おお; くに; ま; まさし; ただし<br><br><b>Stats:</b> Strokes: 5 | Radical: 77 | Freq: #143<br><br><b>Heisig:</b> RTK: #379 | RTK6: #405,grade1
声,<b>Meanings:</b> voice<br><br><b>On'yomi:</b> セイ; ショウ<br><br><b>Kun'yomi:</b> こえ; こわ-<br><br><b>Stats:</b> Strokes: 7 | Radical: 33 | Freq: #388<br><br><b>Heisig:</b> RTK: #1896 | RTK6: #2044,grade2
青,<b>Meanings:</b> blue; green<br><br><b>On'yomi:</b> セイ; ショウ<br><br><b>Kun'yomi:</b> あお; あお-; あお.い<br><br><b>Name readings:</b> お<br><br><b>Stats:</b> Strokes: 8 | Radical: 174 | Freq: #589<br><br><b>Heisig:</b> RTK: #1534 | RTK6: #1654,grade1
赤,<b>Meanings:</b> red<br><br><b>On'yomi:</b> セキ; シャク<br><br><b>Kun'yomi:</b> あか; あか-; あか.い; あか.らむ; あか.らめる<br><br><b>Name readings:</b> あ; あこ; あま<br><br><b>Stats:</b> Strokes: 7 | Radical: 155 | Freq: #584<br><br><b>Heisig:</b> RTK: #1743 | RTK6: #1880,grade1
切,<b>Meanings:</b> cut; cutoff; be sharp<br><br><b>On'yomi:</b> セツ; サイ<br><br><b>Kun'yomi:</b> き.る; -き.る; き.り; -き.り; -ぎ.り; き.れる; -き.れる; き.れ; -き.れ; -ぎ.れ<br><br><b>Name readings:</b> きつ; きり; ぎり<br><br><b>Stats:</b> Strokes: 4 | Radical: 18 | Freq: #324<br><br><b>Heisig:</b> RTK: #85 | RTK6: #89,grade2
説,<b>Meanings:</b> opinion; theory; explanation; rumor<br><br><b>On'yomi:</b> セツ; ゼイ<br><br><b>Kun'yomi:</b> と.く<br><br><b>Name readings:</b> さとし; とき<br><br><b>Stats:</b> Strokes: 14 | Radical: 149 | Freq: #326<br><br><b>Heisig:</b> RTK: #499 | RTK6: #538,grade4
洗,<b>Meanings:</b> wash; inquire into; probe<br><br><b>On'yomi:</b> セン<br><br><b>Kun'yomi:</b> あら.う<br><br><b>Name readings:</b> あらい; らい<br><br><b>Stats:</b> Strokes: 9 | Radical: 85 | Freq: #1168<br><br><b>Heisig:</b> RTK: #249 | RTK6: #264,grade6
早,<b>Meanings:</b> early; fast<br><br><b>On'yomi:</b> ソウ; サッ<br><br><b>Kun'yomi:</b> はや.い; はや; はや-; はや.まる; はや.める; さ-<br><br><b>Name readings:</b> さか; さわ; そ; わ<br><br><b>Stats:</b> Strokes: 6 | Radical: 72 | Freq: #402<br><br><b>Heisig:</b> RTK: #26 | RTK6: #26,grade1
走,<b>Meanings:</b> run<br><br><b>On'yomi:</b> ソウ<br><br><b>Kun'yomi:</b> はし.る<br><br><b>Name readings:</b> はしり<br><br><b>Stats:</b> Strokes: 7 | Radical: 156 | Freq: #626<br><br><b>Heisig:</b> RTK: #384 | RTK6: #410,grade2
送,<b>Meanings:</b> escort; send<br><br><b>On'yomi:</b> ソウ<br><br><b>Kun'yomi:</b> おく.る<br><br><b>Stats:</b> Strokes: 9 | Radical: 162 | Freq: #311<br><br><b>Heisig:</b> RTK: #2016 | RTK6: #2172,grade3
族,<b>Meanings:</b> tribe; family<br><br><b>On'yomi:</b> ゾク<br><br><b>Name readings:</b> つぎ<br><br><b>Stats:</b> Strokes: 11 | Radical: 70 | Freq: #393<br><br><b>Heisig:</b> RTK: #1222 | RTK6: #1307,grade3
村,<b>Meanings:</b> village; town<br><br><b>On'yomi:</b> ソン<br><br><b>Kun'yomi:</b> むら<br><br><b>Name readings:</b> え; むた; ら<br><br><b>Stats:</b> Strokes: 7 | Radical: 75 | Freq: #253<br><br><b>Heisig:</b> RTK: #208 | RTK6: #221,grade1
太,<b>Meanings:</b> plump; thick; big around<br><br><b>On'yomi:</b> タイ; タ<br><br><b>Kun'yomi:</b> ふと.い; ふと.る<br><br><b>Name readings:</b> おお; たか; ひろ<br><br><b>Stats:</b> Strokes: 4 | Radical: 37 | Freq: #552<br><br><b>Heisig:</b> RTK: #120 | RTK6: #126,grade2
体,<b>Meanings:</b> body; substance; object; reality; counter for images<br><br><b>On'yomi:</b> タイ; テイ<br><br><b>Kun'yomi:</b> からだ; かたち<br><br><b>Name readings:</b> なり<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #88<br><br><b>Heisig:</b> RTK: #957 | RTK6: #1030,grade2
待,<b>Meanings:</b> wait; depend on<br><br><b>On'yomi:</b> タイ<br><br><b>Kun'yomi:</b> ま.つ; -ま.ち<br><br><b>Name readings:</b> まち; まつ<br><br><b>Stats:</b> Strokes: 9 | Radical: 60 | Freq: #391<br><br><b>Heisig:</b> RTK: #879 | RTK6: #944,grade3
貸,<b>Meanings:</b> lend<br><br><b>On'yomi:</b> タイ<br><br><b>Kun'yomi:</b> か.す; か.し-; かし-<br><br><b>Stats:</b> Strokes: 12 | Radical: 154 | Freq: #995<br><br><b>Heisig:</b> RTK: #1007 | RTK6: #1082,grade5
代,"<b>Meanings:</b> substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee<br><br><b>On'yomi:</b> ダイ; タイ<br><br><b>Kun'yomi:</b> か.わる; かわ.る; かわ.り; か.わり; -がわ.り; -が.わり; か.える; よ; しろ<br><br><b>Name readings:</b> す<br><br><b>Stats:</b> Strokes: 5 | Radical: 9 | Freq: #66<br><br><b>Heisig:</b> RTK: #1005 | RTK6: #1080",grade3
台,<b>Meanings:</b> pedestal; a stand; counter for machines and vehicles<br><br><b>On'yomi:</b> ダイ; タイ<br><br><b>Kun'yomi:</b> うてな; われ; つかさ<br><br><b>Stats:</b> Strokes: 5 | Radical: 30 | Freq: #262<br><br><b>Heisig:</b> RTK: #744 | RTK6: #805,grade2
題,<b>Meanings:</b> topic; subject<br><br><b>On'yomi:</b> ダイ<br><br><b>Stats:</b> Strokes: 18 | Radical: 181 | Freq: #96<br><br><b>Heisig:</b> RTK: #389 | RTK6: #415,grade3
短,<b>Meanings:</b> short; brevity; fault; defect; weak point<br><br><b>On'yomi:</b> タン<br><br><b>Kun'yomi:</b> みじか.い<br><br><b>Stats:</b> Strokes: 12 | Radical: 111 | Freq: #689<br><br><b>Heisig:</b> RTK: #1442 | RTK6: #1550,grade3
知,<b>Meanings:</b> know; wisdom<br><br><b>On'yomi:</b> チ<br><br><b>Kun'yomi:</b> し.る; し.らせる<br><br><b>Name readings:</b> さと; さとる; しり; しれ; とも; のり<br><br><b>Stats:</b> Strokes: 8 | Radical: 111 | Freq: #205<br><br><b>Heisig:</b> RTK: #1223 | RTK6: #1308,grade2
地,<b>Meanings:</b> ground; earth<br><br><b>On'yomi:</b> チ; ジ<br><br><b>Name readings:</b> どま<br><br><b>Stats:</b> Strokes: 6 | Radical: 32 | Freq: #40<br><br><b>Heisig:</b> RTK: #515 | RTK6: #554,grade2
池,<b>Meanings:</b> pond; cistern; pool; reservoir<br><br><b>On'yomi:</b> チ<br><br><b>Kun'yomi:</b> いけ<br><br><b>Stats:</b> Strokes: 6 | Radical: 85 | Freq: #827<br><br><b>Heisig:</b> RTK: #516 | RTK6: #555,grade2
茶,<b>Meanings:</b> tea<br><br><b>On'yomi:</b> チャ; サ<br><br><b>Name readings:</b> ちや<br><br><b>Stats:</b> Strokes: 9 | Radical: 140 | Freq: #1116<br><br><b>Heisig:</b> RTK: #252 | RTK6: #267,grade2
着,<b>Meanings:</b> don; arrive; wear; counter for suits of clothing<br><br><b>On'yomi:</b> チャク; ジャク<br><br><b>Kun'yomi:</b> き.る; き.せる; つ.く; つ.ける<br><br><b>Stats:</b> Strokes: 12 | Radical: 109 | Freq: #376<br><br><b>Heisig:</b> RTK: #555 | RTK6: #594,grade3
昼,<b>Meanings:</b> daytime; noon<br><br><b>On'yomi:</b> チュウ<br><br><b>Kun'yomi:</b> ひる<br><br><b>Stats:</b> Strokes: 9 | Radical: 72 | Freq: #1115<br><br><b>Heisig:</b> RTK: #1075 | RTK6: #1156,grade2
注,<b>Meanings:</b> pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate<br><br><b>On'yomi:</b> チュウ<br><br><b>Kun'yomi:</b> そそ.ぐ; さ.す; つ.ぐ<br><br><b>Stats:</b> Strokes: 8 | Radical: 85 | Freq: #497<br><br><b>Heisig:</b> RTK: #267 | RTK6: #285,grade3
朝,<b>Meanings:</b> morning; dynasty; regime; epoch; period; (North) Korea<br><br><b>On'yomi:</b> チョウ<br><br><b>Kun'yomi:</b> あさ<br><br><b>Name readings:</b> あ; あそ; ささ; ちか; とも<br><br><b>Stats:</b> Strokes: 12 | Radical: 74 | Freq: #248<br><br><b>Heisig:</b> RTK: #52 | RTK6: #53,grade2
町,<b>Meanings:</b> town; village; block; street<br><br><b>On'yomi:</b> チョウ<br><br><b>Kun'yomi:</b> まち<br><br><b>Stats:</b> Strokes: 7 | Radical: 102 | Freq: #292<br><br><b>Heisig:</b> RTK: #92 | RTK6: #96,grade1
鳥,<b>Meanings:</b> bird; chicken<br><br><b>On'yomi:</b> チョウ<br><br><b>Kun'yomi:</b> とり<br><br><b>Name readings:</b> か; と; とっ<br><br><b>Stats:</b> Strokes: 11 | Radical: 196 | Freq: #1043<br><br><b>Heisig:</b> RTK: #1941 | RTK6: #2091,grade2
通,"<b>Meanings:</b> traffic; pass through; avenue; commute; counter for letters, notes, documents, etc.<br><br><b>On'yomi:</b> ツウ; ツ<br><br><b>Kun'yomi:</b> とお.る; とお.り; -とお.り; -どお.り; とお.す; とお.し; -どお.し; かよ.う<br><br><b>Name readings:</b> とん; どうし; どおり; みち<br><br><b>Stats:</b> Strokes: 10 | Radical: 162 | Freq: #80<br><br><b>Heisig:</b> RTK: #1408 | RTK6: #1511",grade2
低,<b>Meanings:</b> lower; short; humble<br><br><b>On'yomi:</b> テイ<br><br><b>Kun'yomi:</b> ひく.い; ひく.める; ひく.まる<br><br><b>Stats:</b> Strokes: 7 | Radical: 9 | Freq: #435<br><br><b>Heisig:</b> RTK: #1831 | RTK6: #1973,grade4
弟,<b>Meanings:</b> younger brother; faithful service to elders<br><br><b>On'yomi:</b> テイ; ダイ; デ<br><br><b>Kun'yomi:</b> おとうと<br><br><b>Name readings:</b> て<br><br><b>Stats:</b> Strokes: 7 | Radical: 57 | Freq: #1161<br><br><b>Heisig:</b> RTK: #1240 | RTK6: #1328,grade2
転,<b>Meanings:</b> revolve; turn around; change<br><br><b>On'yomi:</b> テン<br><br><b>Kun'yomi:</b> ころ.がる; ころ.げる; ころ.がす; ころ.ぶ; まろ.ぶ; うたた; うつ.る; くる.めく<br><br><b>Stats:</b> Strokes: 11 | Radical: 159 | Freq: #327<br><br><b>Heisig:</b> RTK: #420 | RTK6: #449,grade3
田,<b>Meanings:</b> rice field; rice paddy<br><br><b>On'yomi:</b> デン<br><br><b>Kun'yomi:</b> た<br><br><b>Name readings:</b> いなか; おか; たん; で; とう; や<br><br><b>Stats:</b> Strokes: 5 | Radical: 102 | Freq: #90<br><br><b>Heisig:</b> RTK: #14 | RTK6: #14,grade1
都,<b>Meanings:</b> metropolis; capital; all; everything<br><br><b>On'yomi:</b> ト; ツ<br><br><b>Kun'yomi:</b> みやこ<br><br><b>Name readings:</b> くに; ず; ち; づめ; みや<br><br><b>Stats:</b> Strokes: 11 | Radical: 163 | Freq: #123<br><br><b>Heisig:</b> RTK: #1846 | RTK6: #1989,grade3
度,<b>Meanings:</b> degrees; occurrence; time; counter for occurrences; consider; attitude<br><br><b>On'yomi:</b> ド; ト; タク<br><br><b>Kun'yomi:</b> たび; -た.い<br><br><b>Name readings:</b> のり<br><br><b>Stats:</b> Strokes: 9 | Radical: 53 | Freq: #110<br><br><b>Heisig:</b> RTK: #1194 | RTK6: #1278,grade3
冬,<b>Meanings:</b> winter<br><br><b>On'yomi:</b> トウ<br><br><b>Kun'yomi:</b> ふゆ<br><br><b>Stats:</b> Strokes: 5 | Radical: 15 | Freq: #1090<br><br><b>Heisig:</b> RTK: #427 | RTK6: #456,grade2
答,<b>Meanings:</b> solution; answer<br><br><b>On'yomi:</b> トウ<br><br><b>Kun'yomi:</b> こた.える; こた.え<br><br><b>Name readings:</b> どう<br><br><b>Stats:</b> Strokes: 12 | Radical: 118 | Freq: #486<br><br><b>Heisig:</b> RTK: #947 | RTK6: #1018,grade2
頭,<b>Meanings:</b> head; counter for large animals<br><br><b>On'yomi:</b> トウ; ズ; ト<br><br><b>Kun'yomi:</b> あたま; かしら; -がしら; かぶり<br><br><b>Name readings:</b> かみ; がみ; ちゃん; つむり; づ<br><br><b>Stats:</b> Strokes: 16 | Radical: 181 | Freq: #433<br><br><b>Heisig:</b> RTK: #1441 | RTK6: #1549,grade2
働,<b>Meanings:</b> work; (kokuji)<br><br><b>On'yomi:</b> ドウ<br><br><b>Kun'yomi:</b> はたら.く<br><br><b>Stats:</b> Strokes: 13 | Radical: 9 | Freq: #417<br><br><b>Heisig:</b> RTK: #1678 | RTK6: #1809,grade4
動,<b>Meanings:</b> move; motion; change; confusion; shift; shake<br><br><b>On'yomi:</b> ドウ<br><br><b>Kun'yomi:</b> うご.く; うご.かす<br><br><b>Name readings:</b> るぎ<br><br><b>Stats:</b> Strokes: 11 | Radical: 19 | Freq: #73<br><br><b>Heisig:</b> RTK: #1676 | RTK6: #1806,grade3
同,<b>Meanings:</b> same; agree; equal<br><br><b>On'yomi:</b> ドウ<br><br><b>Kun'yomi:</b> おな.じ<br><br><b>Stats:</b> Strokes: 6 | Radical: 30 | Freq: #15<br><br><b>Heisig:</b> RTK: #180 | RTK6: #192,grade2
堂,<b>Meanings:</b> public chamber; hall<br><br><b>On'yomi:</b> ドウ<br><br><b>Stats:</b> Strokes: 11 | Radical: 32 | Freq: #1010<br><br><b>Heisig:</b> RTK: #798 | RTK6: #861,grade5
特,<b>Meanings:</b> special<br><br><b>On'yomi:</b> トク<br><br><b>Stats:</b> Strokes: 10 | Radical: 93 | Freq: #234<br><br><b>Heisig:</b> RTK: #246 | RTK6: #261,grade4
肉,<b>Meanings:</b> meat<br><br><b>On'yomi:</b> ニク<br><br><b>Kun'yomi:</b> しし<br><br><b>Stats:</b> Strokes: 6 | Radical: 130 | Freq: #986<br><br><b>Heisig:</b> RTK: #1022 | RTK6: #1098,grade2
売,<b>Meanings:</b> sell<br><br><b>On'yomi:</b> バイ<br><br><b>Kun'yomi:</b> う.る; う.れる<br><br><b>Name readings:</b> うり; うる; め<br><br><b>Stats:</b> Strokes: 7 | Radical: 33 | Freq: #202<br><br><b>Heisig:</b> RTK: #323 | RTK6: #345,grade2
発,<b>Meanings:</b> departure; discharge; publish; emit; start from; disclose; counter for gunshots<br><br><b>On'yomi:</b> ハツ; ホツ<br><br><b>Kun'yomi:</b> た.つ; あば.く; おこ.る; つか.わす; はな.つ<br><br><b>Name readings:</b> ば; わ<br><br><b>Stats:</b> Strokes: 9 | Radical: 105 | Freq: #32<br><br><b>Heisig:</b> RTK: #1705 | RTK6: #1840,grade3
飯,<b>Meanings:</b> meal; boiled rice<br><br><b>On'yomi:</b> ハン<br><br><b>Kun'yomi:</b> めし<br><br><b>Name readings:</b> い; いい; いり; え<br><br><b>Stats:</b> Strokes: 12 | Radical: 184 | Freq: #1046<br><br><b>Heisig:</b> RTK: #1473 | RTK6: #1583,grade4
病,<b>Meanings:</b> ill; sick<br><br><b>On'yomi:</b> ビョウ; ヘイ<br><br><b>Kun'yomi:</b> や.む; -や.み; やまい<br><br><b>Stats:</b> Strokes: 10 | Radical: 104 | Freq: #384<br><br><b>Heisig:</b> RTK: #1682 | RTK6: #1813,grade3
品,<b>Meanings:</b> goods; refinement; dignity; article; counter for meal courses<br><br><b>On'yomi:</b> ヒン; ホン<br><br><b>Kun'yomi:</b> しな<br><br><b>Stats:</b> Strokes: 9 | Radical: 30 | Freq: #225<br><br><b>Heisig:</b> RTK: #23 | RTK6: #23,grade3
不,<b>Meanings:</b> negative; non-; bad; ugly; clumsy<br><br><b>On'yomi:</b> フ; ブ<br><br><b>Stats:</b> Strokes: 4 | Radical: 1 | Freq: #101<br><br><b>Heisig:</b> RTK: #1217 | RTK6: #1302,grade4
風,<b>Meanings:</b> wind; air; style; manner<br><br><b>On'yomi:</b> フウ; フ<br><br><b>Kun'yomi:</b> かぜ; かざ-<br><br><b>Name readings:</b> い; え<br><br><b>Stats:</b> Strokes: 9 | Radical: 182 | Freq: #558<br><br><b>Heisig:</b> RTK: #524 | RTK6: #563,grade2
服,<b>Meanings:</b> clothing; admit; obey; discharge<br><br><b>On'yomi:</b> フク<br><br><b>Name readings:</b> はっ; はつ; はら<br><br><b>Stats:</b> Strokes: 8 | Radical: 74 | Freq: #873<br><br><b>Heisig:</b> RTK: #1399 | RTK6: #1501,grade3
物,<b>Meanings:</b> thing; object; matter<br><br><b>On'yomi:</b> ブツ; モツ<br><br><b>Kun'yomi:</b> もの; もの-<br><br><b>Stats:</b> Strokes: 8 | Radical: 93 | Freq: #215<br><br><b>Heisig:</b> RTK: #1050 | RTK6: #1129,grade3
文,<b>Meanings:</b> sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)<br><br><b>On'yomi:</b> ブン; モン<br><br><b>Kun'yomi:</b> ふみ; あや<br><br><b>Name readings:</b> かざり; ふ; も<br><br><b>Stats:</b> Strokes: 4 | Radical: 67 | Freq: #190<br><br><b>Heisig:</b> RTK: #1725 | RTK6: #1861,grade1
別,<b>Meanings:</b> separate; branch off; diverge; fork; another; extra; specially<br><br><b>On'yomi:</b> ベツ<br><br><b>Kun'yomi:</b> わか.れる; わ.ける<br><br><b>Name readings:</b> べっ<br><br><b>Stats:</b> Strokes: 7 | Radical: 18 | Freq: #214<br><br><b>Heisig:</b> RTK: #90 | RTK6: #94,grade4
便,<b>Meanings:</b> convenience; facility; excrement; feces; letter; chance<br><br><b>On'yomi:</b> ベン; ビン<br><br><b>Kun'yomi:</b> たよ.り<br><br><b>Stats:</b> Strokes: 9 | Radical: 9 | Freq: #729<br><br><b>Heisig:</b> RTK: #991 | RTK6: #1066,grade4
勉,<b>Meanings:</b> exertion; endeavour; encourage; strive; make effort; diligent<br><br><b>On'yomi:</b> ベン<br><br><b>Kun'yomi:</b> つと.める<br><br><b>Name readings:</b> ひこ; やつ<br><br><b>Stats:</b> Strokes: 10 | Radical: 19 | Freq: #1066<br><br><b>Heisig:</b> RTK: #1975 | RTK6: #2129,grade3
歩,<b>Meanings:</b> walk; counter for steps<br><br><b>On'yomi:</b> ホ; ブ; フ<br><br><b>Kun'yomi:</b> ある.く; あゆ.む<br><br><b>Name readings:</b> あ; ゆき; ゆみ<br><br><b>Stats:</b> Strokes: 8 | Radical: 77 | Freq: #554<br><br><b>Heisig:</b> RTK: #371 | RTK6: #397,grade2
方,<b>Meanings:</b> direction; person; alternative<br><br><b>On'yomi:</b> ホウ<br><br><b>Kun'yomi:</b> かた; -かた; -がた<br><br><b>Name readings:</b> から; な; なた; ふさ; まさ; みち; も; わ<br><br><b>Stats:</b> Strokes: 4 | Radical: 70 | Freq: #46<br><br><b>Heisig:</b> RTK: #490 | RTK6: #529,grade2
妹,<b>Meanings:</b> younger sister<br><br><b>On'yomi:</b> マイ<br><br><b>Kun'yomi:</b> いもうと<br><br><b>Name readings:</b> す; せ; も<br><br><b>Stats:</b> Strokes: 8 | Radical: 38 | Freq: #1446<br><br><b>Heisig:</b> RTK: #220 | RTK6: #234,grade2
味,<b>Meanings:</b> flavor; taste<br><br><b>On'yomi:</b> ミ<br><br><b>Kun'yomi:</b> あじ; あじ.わう<br><br><b>Stats:</b> Strokes: 8 | Radical: 30 | Freq: #442<br><br><b>Heisig:</b> RTK: #219 | RTK6: #233,grade3
民,<b>Meanings:</b> people; nation; subjects<br><br><b>On'yomi:</b> ミン<br><br><b>Kun'yomi:</b> たみ<br><br><b>Name readings:</b> ひと; み<br><br><b>Stats:</b> Strokes: 5 | Radical: 83 | Freq: #28<br><br><b>Heisig:</b> RTK: #1834 | RTK6: #1976,grade4
明,<b>Meanings:</b> bright; light<br><br><b>On'yomi:</b> メイ; ミョウ; ミン<br><br><b>Kun'yomi:</b> あ.かり; あか.るい; あか.るむ; あか.らむ; あき.らか; あ.ける; -あ.け; あ.く; あ.くる; あ.かす<br><br><b>Name readings:</b> あきら; あけ; あす; きら; け; さや; さやか; とし; はる; み; め<br><br><b>Stats:</b> Strokes: 8 | Radical: 72 | Freq: #67<br><br><b>Heisig:</b> RTK: #20 | RTK6: #20,grade2
問,<b>Meanings:</b> question; ask; problem<br><br><b>On'yomi:</b> モン<br><br><b>Kun'yomi:</b> と.う; と.い; とん<br><br><b>Name readings:</b> はる<br><br><b>Stats:</b> Strokes: 11 | Radical: 30 | Freq: #64<br><br><b>Heisig:</b> RTK: #1617 | RTK6: #1744,grade3
門,<b>Meanings:</b> gate; counter for cannons<br><br><b>On'yomi:</b> モン<br><br><b>Kun'yomi:</b> かど; と<br><br><b>Name readings:</b> じょう; も; ゆき<br><br><b>Stats:</b> Strokes: 8 | Radical: 169 | Freq: #452<br><br><b>Heisig:</b> RTK: #1616 | RTK6: #1743,grade2
夜,<b>Meanings:</b> night; evening<br><br><b>On'yomi:</b> ヤ<br><br><b>Kun'yomi:</b> よ; よる<br><br><b>Stats:</b> Strokes: 8 | Radical: 36 | Freq: #487<br><br><b>Heisig:</b> RTK: #1037 | RTK6: #1115,grade2
