kanji,back,tags
軌,<b>Meanings:</b> rut; wheel; track; model; way of doing<br><br><b>On'yomi:</b> キ<br><br><b>Stats:</b> Strokes: 9 | Radical: 159 | Freq: #1480<br><br><b>Heisig:</b> RTK: #288 | RTK6: #306,grade8
輝,<b>Meanings:</b> radiance; shine; sparkle; gleam; twinkle<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> かがや.く<br><br><b>Name readings:</b> あき; あきら; さき; てる; ひ; ひかる<br><br><b>Stats:</b> Strokes: 15 | Radical: 159 | Freq: #1259<br><br><b>Heisig:</b> RTK: #302 | RTK6: #324,grade8
飢,<b>Meanings:</b> hungry; starve<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> う.える<br><br><b>Stats:</b> Strokes: 10 | Radical: 184 | Freq: #1659<br><br><b>Heisig:</b> RTK: #1475 | RTK6: #1585,grade8
騎,<b>Meanings:</b> equestrian; riding on horses; counter for equestrians<br><br><b>On'yomi:</b> キ<br><br><b>Stats:</b> Strokes: 18 | Radical: 187 | Freq: #1696<br><br><b>Heisig:</b> RTK: #1981 | RTK6: #2135,grade8
鬼,<b>Meanings:</b> ghost; devil<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> おに; おに-<br><br><b>Stats:</b> Strokes: 10 | Radical: 194 | Freq: #1557<br><br><b>Heisig:</b> RTK: #2019 | RTK6: #2175,grade8
亀,<b>Meanings:</b> tortoise; turtle<br><br><b>On'yomi:</b> キ; キュウ; キン<br><br><b>Kun'yomi:</b> かめ<br><br><b>Name readings:</b> ひさ; ひさし<br><br><b>Stats:</b> Strokes: 11 | Radical: 5 | Freq: #1353<br><br><b>Heisig:</b> RTK: #534 | RTK6: #573,grade8
偽,<b>Meanings:</b> falsehood; lie; deceive; pretend; counterfeit; forgery<br><br><b>On'yomi:</b> ギ; カ<br><br><b>Kun'yomi:</b> いつわ.る; にせ; いつわ.り<br><br><b>Stats:</b> Strokes: 11 | Radical: 9 | Freq: #1171<br><br><b>Heisig:</b> RTK: #1919 | RTK6: #2068,grade8
儀,<b>Meanings:</b> ceremony; rule; affair; case; a matter<br><br><b>On'yomi:</b> ギ<br><br><b>Name readings:</b> のり; よし<br><br><b>Stats:</b> Strokes: 15 | Radical: 9 | Freq: #739<br><br><b>Heisig:</b> RTK: #984 | RTK6: #1059,grade8
宜,<b>Meanings:</b> best regards; good<br><br><b>On'yomi:</b> ギ<br><br><b>Kun'yomi:</b> よろ.しい; よろ.しく<br><br><b>Name readings:</b> き; たか; のぶ; のり; よし<br><br><b>Stats:</b> Strokes: 8 | Radical: 40 | Freq: #1766<br><br><b>Heisig:</b> RTK: #1783 | RTK6: #1922,grade8
戯,<b>Meanings:</b> frolic; play; sport<br><br><b>On'yomi:</b> ギ; ゲ<br><br><b>Kun'yomi:</b> たわむ.れる; ざ.れる; じゃ.れる<br><br><b>Stats:</b> Strokes: 15 | Radical: 62 | Freq: #1880<br><br><b>Heisig:</b> RTK: #1994 | RTK6: #2149,grade8
擬,<b>Meanings:</b> mimic; aim (a gun) at; nominate; imitate<br><br><b>On'yomi:</b> ギ<br><br><b>Kun'yomi:</b> まが.い; もど.き<br><br><b>Stats:</b> Strokes: 17 | Radical: 64 | Freq: #1990<br><br><b>Heisig:</b> RTK: #1411 | RTK6: #1514,grade8
欺,<b>Meanings:</b> deceit; cheat; delude<br><br><b>On'yomi:</b> ギ<br><br><b>Kun'yomi:</b> あざむ.く<br><br><b>Stats:</b> Strokes: 12 | Radical: 76 | Freq: #1541<br><br><b>Heisig:</b> RTK: #1762 | RTK6: #1899,grade8
犠,<b>Meanings:</b> sacrifice<br><br><b>On'yomi:</b> ギ; キ<br><br><b>Kun'yomi:</b> いけにえ<br><br><b>Stats:</b> Strokes: 17 | Radical: 93 | Freq: #1189<br><br><b>Heisig:</b> RTK: #643 | RTK6: #693,grade8
義,<b>Meanings:</b> righteousness; justice; morality; honor; loyalty; meaning<br><br><b>On'yomi:</b> ギ<br><br><b>Name readings:</b> ただし; ちか; のり; よし<br><br><b>Stats:</b> Strokes: 13 | Radical: 123 | Freq: #415<br><br><b>Heisig:</b> RTK: #641 | RTK6: #691,grade5
誼,<b>Meanings:</b> friendship; intimacy<br><br><b>On'yomi:</b> ギ<br><br><b>Kun'yomi:</b> よしみ; よい<br><br><b>Stats:</b> Strokes: 15 | Radical: 149<br><br><b>Heisig:</b> RTK: #2719 | RTK6: #2751,grade9
菊,<b>Meanings:</b> chrysanthemum<br><br><b>On'yomi:</b> キク<br><br><b>Stats:</b> Strokes: 11 | Radical: 140 | Freq: #1287<br><br><b>Heisig:</b> RTK: #927 | RTK6: #996,grade8
鞠,<b>Meanings:</b> ball<br><br><b>On'yomi:</b> キク; キュウ<br><br><b>Kun'yomi:</b> まり<br><br><b>Name readings:</b> まい<br><br><b>Stats:</b> Strokes: 17 | Radical: 177<br><br><b>Heisig:</b> RTK: #2787 | RTK6: #2808,grade9
吉,<b>Meanings:</b> good luck; joy; congratulations<br><br><b>On'yomi:</b> キチ; キツ<br><br><b>Kun'yomi:</b> よし<br><br><b>Name readings:</b> え; き; きっ; きる; こし; と; よ<br><br><b>Stats:</b> Strokes: 6 | Radical: 30 | Freq: #711<br><br><b>Heisig:</b> RTK: #320 | RTK6: #342,grade8
橘,<b>Meanings:</b> mandarin orange<br><br><b>On'yomi:</b> キツ<br><br><b>Kun'yomi:</b> たちばな<br><br><b>Name readings:</b> きっ<br><br><b>Stats:</b> Strokes: 16 | Radical: 75 | Freq: #2053<br><br><b>Heisig:</b> RTK: #2494 | RTK6: #2557,grade9
却,<b>Meanings:</b> instead; on the contrary; rather; step back; withdraw; retreat<br><br><b>On'yomi:</b> キャク<br><br><b>Kun'yomi:</b> かえ.って; しりぞ.く; しりぞ.ける<br><br><b>Stats:</b> Strokes: 7 | Radical: 26 | Freq: #959<br><br><b>Heisig:</b> RTK: #1395 | RTK6: #1497,grade8
脚,<b>Meanings:</b> skids; leg; undercarriage; lower part; base<br><br><b>On'yomi:</b> キャク; キャ; カク<br><br><b>Kun'yomi:</b> あし<br><br><b>Name readings:</b> し<br><br><b>Stats:</b> Strokes: 11 | Radical: 130 | Freq: #1228<br><br><b>Heisig:</b> RTK: #1396 | RTK6: #1498,grade8
虐,<b>Meanings:</b> tyrannize; oppress<br><br><b>On'yomi:</b> ギャク<br><br><b>Kun'yomi:</b> しいた.げる<br><br><b>Stats:</b> Strokes: 9 | Radical: 141 | Freq: #1464<br><br><b>Heisig:</b> RTK: #1998 | RTK6: #2153,grade8
丘,<b>Meanings:</b> hill; knoll<br><br><b>On'yomi:</b> キュウ<br><br><b>Kun'yomi:</b> おか<br><br><b>Name readings:</b> たかし<br><br><b>Stats:</b> Strokes: 5 | Radical: 1 | Freq: #1405<br><br><b>Heisig:</b> RTK: #1329 | RTK6: #1427,grade8
及,<b>Meanings:</b> reach out; exert; exercise; cause<br><br><b>On'yomi:</b> キュウ<br><br><b>Kun'yomi:</b> およ.ぶ; およ.び; および; およ.ぼす<br><br><b>Name readings:</b> おい; の<br><br><b>Stats:</b> Strokes: 3 | Radical: 29 | Freq: #544<br><br><b>Heisig:</b> RTK: #688 | RTK6: #743,grade8
宮,<b>Meanings:</b> Shinto shrine; constellations; palace; princess<br><br><b>On'yomi:</b> キュウ; グウ; ク; クウ<br><br><b>Kun'yomi:</b> みや<br><br><b>Name readings:</b> ぐ; み<br><br><b>Stats:</b> Strokes: 10 | Radical: 40 | Freq: #367<br><br><b>Heisig:</b> RTK: #1033 | RTK6: #1110,grade3
弓,"<b>Meanings:</b> bow; bow (archery, violin)<br><br><b>On'yomi:</b> キュウ<br><br><b>Kun'yomi:</b> ゆみ<br><br><b>Name readings:</b> こ; ゆ<br><br><b>Stats:</b> Strokes: 3 | Radical: 57 | Freq: #1802<br><br><b>Heisig:</b> RTK: #1231 | RTK6: #1317",grade2
朽,<b>Meanings:</b> decay; rot; remain in seclusion<br><br><b>On'yomi:</b> キュウ<br><br><b>Kun'yomi:</b> く.ちる<br><br><b>Name readings:</b> くつ<br><br><b>Stats:</b> Strokes: 6 | Radical: 75 | Freq: #1891<br><br><b>Heisig:</b> RTK: #1243 | RTK6: #1331,grade8
窮,<b>Meanings:</b> hard up; destitute; suffer; perplexed; cornered<br><br><b>On'yomi:</b> キュウ; キョウ<br><br><b>Kun'yomi:</b> きわ.める; きわ.まる; きわ.まり; きわ.み<br><br><b>Stats:</b> Strokes: 15 | Radical: 116 | Freq: #1756<br><br><b>Heisig:</b> RTK: #1326 | RTK6: #1424,grade8
糾,<b>Meanings:</b> twist; ask; investigate; verify<br><br><b>On'yomi:</b> キュウ<br><br><b>Kun'yomi:</b> ただ.す<br><br><b>Stats:</b> Strokes: 9 | Radical: 120 | Freq: #1820<br><br><b>Heisig:</b> RTK: #1509 | RTK6: #1627,grade8
拒,<b>Meanings:</b> repel; refuse; reject; decline<br><br><b>On'yomi:</b> キョ; ゴ<br><br><b>Kun'yomi:</b> こば.む<br><br><b>Stats:</b> Strokes: 8 | Radical: 64 | Freq: #863<br><br><b>Heisig:</b> RTK: #857 | RTK6: #921,grade8
拠,<b>Meanings:</b> foothold; based on; follow; therefore<br><br><b>On'yomi:</b> キョ; コ<br><br><b>Kun'yomi:</b> よ.る<br><br><b>Stats:</b> Strokes: 8 | Radical: 64 | Freq: #858<br><br><b>Heisig:</b> RTK: #669 | RTK6: #722,grade8
挙,<b>Meanings:</b> raise; plan; project; behavior; actions<br><br><b>On'yomi:</b> キョ<br><br><b>Kun'yomi:</b> あ.げる; あ.がる; こぞ.る<br><br><b>Name readings:</b> たか<br><br><b>Stats:</b> Strokes: 10 | Radical: 64 | Freq: #257<br><br><b>Heisig:</b> RTK: #1938 | RTK6: #2088,grade4
虚,<b>Meanings:</b> void; emptiness; unpreparedness; crack; fissure; untruth<br><br><b>On'yomi:</b> キョ; コ<br><br><b>Kun'yomi:</b> むな.しい; うつ.ろ<br><br><b>Stats:</b> Strokes: 11 | Radical: 141 | Freq: #1454<br><br><b>Heisig:</b> RTK: #1993 | RTK6: #2148,grade8
距,<b>Meanings:</b> long-distance; spur; fetlock<br><br><b>On'yomi:</b> キョ<br><br><b>Kun'yomi:</b> へだ.たる; けづめ<br><br><b>Stats:</b> Strokes: 12 | Radical: 157 | Freq: #1191<br><br><b>Heisig:</b> RTK: #1281 | RTK6: #1375,grade8
亨,<b>Meanings:</b> pass through; go smoothly<br><br><b>On'yomi:</b> コウ; キョウ; ホウ<br><br><b>Kun'yomi:</b> とお.る<br><br><b>Name readings:</b> とうる; みち; ゆき; あきら; なが; あき; とおる; とおるふ<br><br><b>Stats:</b> Strokes: 7 | Radical: 8 | Freq: #1952<br><br><b>Heisig:</b> RTK: #3001,grade9
享,<b>Meanings:</b> enjoy; receive; undergo; answer (phone); take; get; catch<br><br><b>On'yomi:</b> キョウ; コウ<br><br><b>Kun'yomi:</b> う.ける<br><br><b>Name readings:</b> たか; たかし; とおる; みち<br><br><b>Stats:</b> Strokes: 8 | Radical: 8 | Freq: #1893<br><br><b>Heisig:</b> RTK: #308 | RTK6: #330,grade8
凶,<b>Meanings:</b> villain; evil; bad luck; disaster<br><br><b>On'yomi:</b> キョウ<br><br><b>Stats:</b> Strokes: 4 | Radical: 17 | Freq: #1673<br><br><b>Heisig:</b> RTK: #1490 | RTK6: #1603,grade8
匡,<b>Meanings:</b> correct; save; assist<br><br><b>On'yomi:</b> キョウ; オウ<br><br><b>Kun'yomi:</b> すく.う; ただ.す<br><br><b>Name readings:</b> ただ; ただし; まさ; まさし; きよ; ひと; やす<br><br><b>Stats:</b> Strokes: 6 | Radical: 22 | Freq: #2176<br><br><b>Heisig:</b> RTK: #2892 | RTK6: #2901,grade9
喬,<b>Meanings:</b> high; boasting<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> たか.い<br><br><b>Name readings:</b> たかし; たか<br><br><b>Stats:</b> Strokes: 12 | Radical: 30 | Freq: #1962<br><br><b>Heisig:</b> RTK: #2104,grade9
峡,<b>Meanings:</b> gorge; ravine<br><br><b>On'yomi:</b> キョウ; コウ<br><br><b>Kun'yomi:</b> はざま<br><br><b>Name readings:</b> き; ば<br><br><b>Stats:</b> Strokes: 9 | Radical: 46 | Freq: #1833<br><br><b>Heisig:</b> RTK: #1265 | RTK6: #1355,grade8
恭,<b>Meanings:</b> respect; reverent<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> うやうや.しい<br><br><b>Name readings:</b> きよ; やす; やすし; ゆき; よし<br><br><b>Stats:</b> Strokes: 10 | Radical: 61 | Freq: #1737<br><br><b>Heisig:</b> RTK: #1803 | RTK6: #1943,grade8
狂,<b>Meanings:</b> lunatic; insane; crazy; confuse<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> くる.う; くる.おしい; くるお.しい<br><br><b>Stats:</b> Strokes: 7 | Radical: 94 | Freq: #1425<br><br><b>Heisig:</b> RTK: #260 | RTK6: #277,grade8
矯,<b>Meanings:</b> rectify; straighten; correct; reform; cure; control; pretend; falsify<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> た.める<br><br><b>Stats:</b> Strokes: 17 | Radical: 111 | Freq: #2105<br><br><b>Heisig:</b> RTK: #1221 | RTK6: #1306,grade8
脅,<b>Meanings:</b> threaten; coerce<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> おびや.かす; おど.す; おど.かす<br><br><b>Stats:</b> Strokes: 10 | Radical: 130 | Freq: #1183<br><br><b>Heisig:</b> RTK: #871 | RTK6: #936,grade8
興,<b>Meanings:</b> entertain; revive; retrieve; interest; pleasure<br><br><b>On'yomi:</b> コウ; キョウ<br><br><b>Kun'yomi:</b> おこ.る; おこ.す<br><br><b>Name readings:</b> おき; おこっ; とも<br><br><b>Stats:</b> Strokes: 16 | Radical: 134 | Freq: #734<br><br><b>Heisig:</b> RTK: #1426 | RTK6: #1533,grade5
郷,<b>Meanings:</b> home town; village; native place; district<br><br><b>On'yomi:</b> キョウ; ゴウ<br><br><b>Kun'yomi:</b> さと<br><br><b>Name readings:</b> くに<br><br><b>Stats:</b> Strokes: 11 | Radical: 163 | Freq: #1077<br><br><b>Heisig:</b> RTK: #1849 | RTK6: #1993,grade6
鏡,<b>Meanings:</b> mirror; speculum; barrel-head; round rice-cake offering<br><br><b>On'yomi:</b> キョウ; ケイ<br><br><b>Kun'yomi:</b> かがみ<br><br><b>Name readings:</b> あき; かが; かがん<br><br><b>Stats:</b> Strokes: 19 | Radical: 167 | Freq: #1506<br><br><b>Heisig:</b> RTK: #483 | RTK6: #522,grade4
響,<b>Meanings:</b> echo; sound; resound; ring; vibrate<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> ひび.く<br><br><b>Stats:</b> Strokes: 20 | Radical: 180 | Freq: #502<br><br><b>Heisig:</b> RTK: #1850 | RTK6: #1994,grade8
驚,<b>Meanings:</b> wonder; be surprised; frightened; amazed<br><br><b>On'yomi:</b> キョウ<br><br><b>Kun'yomi:</b> おどろ.く; おどろ.かす<br><br><b>Stats:</b> Strokes: 22 | Radical: 187 | Freq: #1141<br><br><b>Heisig:</b> RTK: #1987 | RTK6: #2141,grade8
仰,<b>Meanings:</b> face-up; look up; depend; seek; respect; revere; drink; take<br><br><b>On'yomi:</b> ギョウ; コウ<br><br><b>Kun'yomi:</b> あお.ぐ; おお.せ; お.っしゃる; おっしゃ.る<br><br><b>Stats:</b> Strokes: 6 | Radical: 9 | Freq: #1573<br><br><b>Heisig:</b> RTK: #1701 | RTK6: #1836,grade8
凝,<b>Meanings:</b> congeal; freeze; stiff; be absorbed in<br><br><b>On'yomi:</b> ギョウ<br><br><b>Kun'yomi:</b> こ.る; こ.らす; こご.らす; こご.らせる; こご.る<br><br><b>Stats:</b> Strokes: 16 | Radical: 15 | Freq: #1712<br><br><b>Heisig:</b> RTK: #1412 | RTK6: #1515,grade8
尭,<b>Meanings:</b> high; far<br><br><b>On'yomi:</b> ギョウ<br><br><b>Kun'yomi:</b> たか.い<br><br><b>Name readings:</b> たかし; たか; のり; あき<br><br><b>Stats:</b> Strokes: 8 | Radical: 32 | Freq: #2136<br><br><b>Heisig:</b> RTK: #2095,grade9
暁,<b>Meanings:</b> daybreak; dawn; in the event<br><br><b>On'yomi:</b> ギョウ; キョウ<br><br><b>Kun'yomi:</b> あかつき; さと.る<br><br><b>Name readings:</b> あき; あきら; あけ; さと; さとる; てる<br><br><b>Stats:</b> Strokes: 12 | Radical: 72 | Freq: #1924<br><br><b>Heisig:</b> RTK: #1201 | RTK6: #1285,grade8
桐,<b>Meanings:</b> paulownia<br><br><b>On'yomi:</b> トウ; ドウ<br><br><b>Kun'yomi:</b> きり<br><br><b>Name readings:</b> ひさ; き<br><br><b>Stats:</b> Strokes: 10 | Radical: 75 | Freq: #1668<br><br><b>Heisig:</b> RTK: #204 | RTK6: #216,grade9
錦,<b>Meanings:</b> brocade; fine dress; honors<br><br><b>On'yomi:</b> キン<br><br><b>Kun'yomi:</b> にしき<br><br><b>Name readings:</b> かね; あや; にし<br><br><b>Stats:</b> Strokes: 16 | Radical: 167 | Freq: #1440<br><br><b>Heisig:</b> RTK: #411 | RTK6: #439,grade8
斤,<b>Meanings:</b> axe; 1.32 lb; catty; counter for loaves of bread; axe radical (no. 69)<br><br><b>On'yomi:</b> キン<br><br><b>Stats:</b> Strokes: 4 | Radical: 69<br><br><b>Heisig:</b> RTK: #1125 | RTK6: #1206,grade8
欣,<b>Meanings:</b> take pleasure in; rejoice<br><br><b>On'yomi:</b> キン; ゴン; コン<br><br><b>Kun'yomi:</b> よろこ.ぶ; よろこ.び<br><br><b>Name readings:</b> やすし; よし; し<br><br><b>Stats:</b> Strokes: 8 | Radical: 76 | Freq: #2071<br><br><b>Heisig:</b> RTK: #2888 | RTK6: #2897,grade9
欽,<b>Meanings:</b> respect; revere; long for<br><br><b>On'yomi:</b> キン; コン<br><br><b>Kun'yomi:</b> つつし.む<br><br><b>Name readings:</b> よし; ひとし<br><br><b>Stats:</b> Strokes: 12 | Radical: 76 | Freq: #2181<br><br><b>Heisig:</b> RTK: #3004,grade9
琴,<b>Meanings:</b> harp; koto<br><br><b>On'yomi:</b> キン; ゴン<br><br><b>Kun'yomi:</b> こと<br><br><b>Stats:</b> Strokes: 12 | Radical: 96 | Freq: #1591<br><br><b>Heisig:</b> RTK: #1591 | RTK6: #1717,grade8
筋,<b>Meanings:</b> muscle; sinew; tendon; fiber; plot; plan; descent<br><br><b>On'yomi:</b> キン<br><br><b>Kun'yomi:</b> すじ<br><br><b>Stats:</b> Strokes: 12 | Radical: 118 | Freq: #744<br><br><b>Heisig:</b> RTK: #941 | RTK6: #1012,grade6
緊,<b>Meanings:</b> tense; solid; hard; reliable; tight<br><br><b>On'yomi:</b> キン<br><br><b>Kun'yomi:</b> し.める; し.まる<br><br><b>Stats:</b> Strokes: 15 | Radical: 120 | Freq: #677<br><br><b>Heisig:</b> RTK: #1374 | RTK6: #1474,grade8
芹,<b>Meanings:</b> parsley<br><br><b>On'yomi:</b> キン<br><br><b>Kun'yomi:</b> せり<br><br><b>Name readings:</b> せい; よし<br><br><b>Stats:</b> Strokes: 7 | Radical: 140 | Freq: #2158<br><br><b>Heisig:</b> RTK: #2396 | RTK6: #2477,grade9
菌,<b>Meanings:</b> germ; fungus; bacteria<br><br><b>On'yomi:</b> キン<br><br><b>Stats:</b> Strokes: 11 | Radical: 140 | Freq: #1586<br><br><b>Heisig:</b> RTK: #918 | RTK6: #985,grade8
衿,<b>Meanings:</b> neck; collar; lapel<br><br><b>On'yomi:</b> キン; コン<br><br><b>Kun'yomi:</b> えり<br><br><b>Stats:</b> Strokes: 9 | Radical: 145<br><br><b>Heisig:</b> RTK: #2623 | RTK6: #2668,grade9
襟,<b>Meanings:</b> collar; neck; lapel; one's inner feelings<br><br><b>On'yomi:</b> キン<br><br><b>Kun'yomi:</b> えり<br><br><b>Stats:</b> Strokes: 18 | Radical: 145 | Freq: #2030<br><br><b>Heisig:</b> RTK: #1099 | RTK6: #1180,grade8
謹,<b>Meanings:</b> discreet; reverently; humbly<br><br><b>On'yomi:</b> キン<br><br><b>Kun'yomi:</b> つつし.む<br><br><b>Stats:</b> Strokes: 17 | Radical: 149 | Freq: #2068<br><br><b>Heisig:</b> RTK: #1576 | RTK6: #1698,grade8
吟,<b>Meanings:</b> versify; singing; recital<br><br><b>On'yomi:</b> ギン<br><br><b>Stats:</b> Strokes: 7 | Radical: 30 | Freq: #1956<br><br><b>Heisig:</b> RTK: #1589 | RTK6: #1714,grade8
句,<b>Meanings:</b> phrase; clause; sentence; passage; paragraph; counter for haiku<br><br><b>On'yomi:</b> ク<br><br><b>Name readings:</b> すく<br><br><b>Stats:</b> Strokes: 5 | Radical: 30 | Freq: #1244<br><br><b>Heisig:</b> RTK: #65 | RTK6: #69,grade5
玖,<b>Meanings:</b> beautiful black jewel; nine<br><br><b>On'yomi:</b> キュウ; ク<br><br><b>Name readings:</b> たま; き; ひさ<br><br><b>Stats:</b> Strokes: 7 | Radical: 96<br><br><b>Heisig:</b> RTK: #2565 | RTK6: #2617,grade9
矩,<b>Meanings:</b> ruler; carpenter's square<br><br><b>On'yomi:</b> ク<br><br><b>Kun'yomi:</b> かね; かねざし; さしがね<br><br><b>Name readings:</b> のり; つね; ただし<br><br><b>Stats:</b> Strokes: 10 | Radical: 111 | Freq: #2380<br><br><b>Heisig:</b> RTK: #2585 | RTK6: #2631,grade9
駆,<b>Meanings:</b> drive; run; gallop; advance; inspire; impel<br><br><b>On'yomi:</b> ク<br><br><b>Kun'yomi:</b> か.ける; か.る<br><br><b>Stats:</b> Strokes: 14 | Radical: 187 | Freq: #1033<br><br><b>Heisig:</b> RTK: #1983 | RTK6: #2137,grade8
駒,<b>Meanings:</b> pony; horse; colt<br><br><b>On'yomi:</b> ク<br><br><b>Kun'yomi:</b> こま<br><br><b>Stats:</b> Strokes: 15 | Radical: 187 | Freq: #1452<br><br><b>Heisig:</b> RTK: #1979 | RTK6: #2133,grade8
愚,<b>Meanings:</b> foolish; folly; absurdity; stupid<br><br><b>On'yomi:</b> グ<br><br><b>Kun'yomi:</b> おろ.か<br><br><b>Stats:</b> Strokes: 13 | Radical: 61 | Freq: #1551<br><br><b>Heisig:</b> RTK: #1957 | RTK6: #2107,grade8
虞,<b>Meanings:</b> fear; uneasiness; anxiety; concern; expectation; consideration<br><br><b>On'yomi:</b> グ<br><br><b>Kun'yomi:</b> おそれ; おもんぱか.る; はか.る; うれ.える; あざむ.く; あやま.る; のぞ.む; たの.しむ<br><br><b>Name readings:</b> すけ; もち; やす<br><br><b>Stats:</b> Strokes: 13 | Radical: 141<br><br><b>Heisig:</b> RTK: #1995 | RTK6: #2150,grade8
遇,<b>Meanings:</b> meet; encounter; interview; treat; entertain; receive; deal with<br><br><b>On'yomi:</b> グウ<br><br><b>Kun'yomi:</b> あ.う<br><br><b>Stats:</b> Strokes: 12 | Radical: 162 | Freq: #1343<br><br><b>Heisig:</b> RTK: #1956 | RTK6: #2106,grade8
屈,<b>Meanings:</b> yield; bend; flinch; submit<br><br><b>On'yomi:</b> クツ<br><br><b>Kun'yomi:</b> かが.む; かが.める<br><br><b>Name readings:</b> くっ<br><br><b>Stats:</b> Strokes: 8 | Radical: 44 | Freq: #1434<br><br><b>Heisig:</b> RTK: #1060 | RTK6: #1140,grade8
熊,<b>Meanings:</b> bear<br><br><b>On'yomi:</b> ユウ<br><br><b>Kun'yomi:</b> くま<br><br><b>Stats:</b> Strokes: 14 | Radical: 86 | Freq: #1105<br><br><b>Heisig:</b> RTK: #2003 | RTK6: #2159,grade4
栗,<b>Meanings:</b> chestnut<br><br><b>On'yomi:</b> リツ; リ<br><br><b>Kun'yomi:</b> くり; おののく<br><br><b>Name readings:</b> くる; りっ<br><br><b>Stats:</b> Strokes: 10 | Radical: 75 | Freq: #1550<br><br><b>Heisig:</b> RTK: #1609 | RTK6: #1735,grade9
繰,<b>Meanings:</b> winding; reel; spin; turn (pages); look up; refer to<br><br><b>On'yomi:</b> ソウ<br><br><b>Kun'yomi:</b> く.る<br><br><b>Name readings:</b> くり<br><br><b>Stats:</b> Strokes: 19 | Radical: 120 | Freq: #872<br><br><b>Heisig:</b> RTK: #1369 | RTK6: #1469,grade8
桑,<b>Meanings:</b> mulberry<br><br><b>On'yomi:</b> ソウ<br><br><b>Kun'yomi:</b> くわ<br><br><b>Name readings:</b> こ<br><br><b>Stats:</b> Strokes: 10 | Radical: 75 | Freq: #1650<br><br><b>Heisig:</b> RTK: #698 | RTK6: #754,grade8
勲,<b>Meanings:</b> meritorious deed; merit<br><br><b>On'yomi:</b> クン<br><br><b>Kun'yomi:</b> いさお<br><br><b>Name readings:</b> いさむ<br><br><b>Stats:</b> Strokes: 15 | Radical: 19 | Freq: #1513<br><br><b>Heisig:</b> RTK: #1677 | RTK6: #1808,grade8
薫,<b>Meanings:</b> send forth fragrance; fragrant; be scented; smoke (tobacco)<br><br><b>On'yomi:</b> クン<br><br><b>Kun'yomi:</b> かお.る<br><br><b>Name readings:</b> かおり; かおる; かほ; かほる; くに; しげ; にほ; のぶ; よし<br><br><b>Stats:</b> Strokes: 16 | Radical: 140 | Freq: #1849<br><br><b>Heisig:</b> RTK: #1681 | RTK6: #1812,grade8
郡,<b>Meanings:</b> county; district<br><br><b>On'yomi:</b> グン<br><br><b>Kun'yomi:</b> こおり<br><br><b>Stats:</b> Strokes: 10 | Radical: 163 | Freq: #965<br><br><b>Heisig:</b> RTK: #1843 | RTK6: #1986,grade4
袈,<b>Meanings:</b> a coarse camlet<br><br><b>On'yomi:</b> ケ; カ<br><br><b>Stats:</b> Strokes: 11 | Radical: 145<br><br><b>Heisig:</b> RTK: #2700 | RTK6: #2738,grade9
刑,<b>Meanings:</b> punish; penalty; sentence; punishment<br><br><b>On'yomi:</b> ケイ<br><br><b>Name readings:</b> おさか; ぎょう<br><br><b>Stats:</b> Strokes: 6 | Radical: 18 | Freq: #864<br><br><b>Heisig:</b> RTK: #679 | RTK6: #734,grade8
啓,<b>Meanings:</b> disclose; open; say<br><br><b>On'yomi:</b> ケイ<br><br><b>Kun'yomi:</b> ひら.く; さと.す<br><br><b>Name readings:</b> あき; あきら; さとし; はじめ; ひろ; よし<br><br><b>Stats:</b> Strokes: 11 | Radical: 30 | Freq: #1403<br><br><b>Heisig:</b> RTK: #1085 | RTK6: #1166,grade8
圭,<b>Meanings:</b> square jewel; corner; angle; edge<br><br><b>On'yomi:</b> ケイ; ケ<br><br><b>Name readings:</b> か; きよ; たま; よし; かど; きよし<br><br><b>Stats:</b> Strokes: 6 | Radical: 32 | Freq: #1837<br><br><b>Heisig:</b> RTK: #155 | RTK6: #167,grade9
契,<b>Meanings:</b> pledge; promise; vow<br><br><b>On'yomi:</b> ケイ<br><br><b>Kun'yomi:</b> ちぎ.る<br><br><b>Stats:</b> Strokes: 9 | Radical: 37 | Freq: #898<br><br><b>Heisig:</b> RTK: #1549 | RTK6: #1669,grade8
径,<b>Meanings:</b> diameter; path; method<br><br><b>On'yomi:</b> ケイ<br><br><b>Kun'yomi:</b> みち; こみち; さしわたし; ただちに<br><br><b>Stats:</b> Strokes: 8 | Radical: 60 | Freq: #1435<br><br><b>Heisig:</b> RTK: #882 | RTK6: #947,grade4
慶,<b>Meanings:</b> jubilation; congratulate; rejoice; be happy<br><br><b>On'yomi:</b> ケイ<br><br><b>Kun'yomi:</b> よろこ.び<br><br><b>Name readings:</b> き; きよん; け; みち; む; やす; よし<br><br><b>Stats:</b> Strokes: 15 | Radical: 61 | Freq: #1300<br><br><b>Heisig:</b> RTK: #2001 | RTK6: #2157,grade8
