kanji,back,tags
為,<b>Meanings:</b> do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> ため; な.る; な.す; す.る; たり; つく.る; なり<br><br><b>Name readings:</b> びい<br><br><b>Stats:</b> Strokes: 9 | Radical: 86 | Freq: #831<br><br><b>Heisig:</b> RTK: #1918 | RTK6: #2067,grade8
維,<b>Meanings:</b> fiber; tie; rope<br><br><b>On'yomi:</b> イ<br><br><b>Name readings:</b> これ; たもつ; つぐ; ゆい; ゆき<br><br><b>Stats:</b> Strokes: 14 | Radical: 120 | Freq: #643<br><br><b>Heisig:</b> RTK: #1341 | RTK6: #1441,grade8
緯,<b>Meanings:</b> horizontal; woof; left & right; (parallels of) latitude; prediction<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> よこいと; ぬき<br><br><b>Stats:</b> Strokes: 16 | Radical: 120 | Freq: #1430<br><br><b>Heisig:</b> RTK: #1645 | RTK6: #1774,grade8
遺,<b>Meanings:</b> bequeath; leave behind; reserve<br><br><b>On'yomi:</b> イ; ユイ<br><br><b>Kun'yomi:</b> のこ.す<br><br><b>Stats:</b> Strokes: 15 | Radical: 162 | Freq: #647<br><br><b>Heisig:</b> RTK: #1772 | RTK6: #1909,grade6
井,<b>Meanings:</b> well; well crib; town; community<br><br><b>On'yomi:</b> セイ; ショウ<br><br><b>Kun'yomi:</b> い<br><br><b>Name readings:</b> いの; さい; ひ<br><br><b>Stats:</b> Strokes: 4 | Radical: 7 | Freq: #339<br><br><b>Heisig:</b> RTK: #1806 | RTK6: #1946,grade4
亥,<b>Meanings:</b> sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac<br><br><b>On'yomi:</b> ガイ; カイ<br><br><b>Kun'yomi:</b> い<br><br><b>Name readings:</b> り<br><br><b>Stats:</b> Strokes: 6 | Radical: 8<br><br><b>Heisig:</b> RTK: #1519 | RTK6: #1637,grade9
郁,<b>Meanings:</b> cultural progress; perfume<br><br><b>On'yomi:</b> イク<br><br><b>Name readings:</b> あや; かおる; い; か; ふみ; ゆう<br><br><b>Stats:</b> Strokes: 9 | Radical: 163 | Freq: #1920<br><br><b>Heisig:</b> RTK: #2424,grade9
磯,<b>Meanings:</b> seashore; beach<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> いそ<br><br><b>Name readings:</b> し; そ<br><br><b>Stats:</b> Strokes: 17 | Radical: 112 | Freq: #1444<br><br><b>Heisig:</b> RTK: #2594 | RTK6: #2640,grade9
壱,<b>Meanings:</b> one (in documents)<br><br><b>On'yomi:</b> イチ; イツ<br><br><b>Kun'yomi:</b> ひとつ<br><br><b>Name readings:</b> い; かず<br><br><b>Stats:</b> Strokes: 7 | Radical: 33 | Freq: #2351<br><br><b>Heisig:</b> RTK: #457 | RTK6: #496,grade8
逸,<b>Meanings:</b> deviate; idleness; leisure; miss the mark; evade; elude; parry; diverge<br><br><b>On'yomi:</b> イツ<br><br><b>Kun'yomi:</b> そ.れる; そ.らす; はぐ.れる<br><br><b>Name readings:</b> いっ; はや; へん<br><br><b>Stats:</b> Strokes: 11 | Radical: 162 | Freq: #1524<br><br><b>Heisig:</b> RTK: #1973 | RTK6: #2127,grade8
稲,<b>Meanings:</b> rice plant<br><br><b>On'yomi:</b> トウ; テ<br><br><b>Kun'yomi:</b> いね; いな-<br><br><b>Name readings:</b> いの; しね; せ; な<br><br><b>Stats:</b> Strokes: 14 | Radical: 115 | Freq: #1038<br><br><b>Heisig:</b> RTK: #910 | RTK6: #976,grade8
芋,<b>Meanings:</b> potato<br><br><b>On'yomi:</b> ウ<br><br><b>Kun'yomi:</b> いも<br><br><b>Stats:</b> Strokes: 6 | Radical: 140 | Freq: #2418<br><br><b>Heisig:</b> RTK: #1655 | RTK6: #1784,grade8
允,<b>Meanings:</b> license; sincerity; permit<br><br><b>On'yomi:</b> イン<br><br><b>Kun'yomi:</b> じょう; まこと.に; ゆるす<br><br><b>Name readings:</b> まこと; のぶ; まさ; みつ; すけ; よし; ちか; とも<br><br><b>Stats:</b> Strokes: 4 | Radical: 10 | Freq: #2358<br><br><b>Heisig:</b> RTK: #765 | RTK6: #827,grade9
姻,<b>Meanings:</b> matrimony; marry<br><br><b>On'yomi:</b> イン<br><br><b>Stats:</b> Strokes: 9 | Radical: 38 | Freq: #1985<br><br><b>Heisig:</b> RTK: #584 | RTK6: #627,grade8
