kanji,back,tags
依,<b>Meanings:</b> reliant; depend on; consequently; therefore; due to<br><br><b>On'yomi:</b> イ; エ<br><br><b>Kun'yomi:</b> よ.る<br><br><b>Name readings:</b> よ; より<br><br><b>Stats:</b> Strokes: 8 | Radical: 9 | Freq: #906<br><br><b>Heisig:</b> RTK: #971 | RTK6: #1045,grade8
偉,<b>Meanings:</b> admirable; greatness; remarkable; conceited; famous; excellent<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> えら.い<br><br><b>Name readings:</b> ひで<br><br><b>Stats:</b> Strokes: 12 | Radical: 9 | Freq: #1639<br><br><b>Heisig:</b> RTK: #1643 | RTK6: #1772,grade8
違,<b>Meanings:</b> difference; differ<br><br><b>On'yomi:</b> イ<br><br><b>Kun'yomi:</b> ちが.う; ちが.い; ちが.える; -ちが.える; たが.う; たが.える<br><br><b>Stats:</b> Strokes: 13 | Radical: 162 | Freq: #344<br><br><b>Heisig:</b> RTK: #1644 | RTK6: #1773,grade8
鋭,<b>Meanings:</b> pointed; sharpness; edge; weapon; sharp; violent<br><br><b>On'yomi:</b> エイ<br><br><b>Kun'yomi:</b> するど.い<br><br><b>Name readings:</b> とし<br><br><b>Stats:</b> Strokes: 15 | Radical: 167 | Freq: #1395<br><br><b>Heisig:</b> RTK: #500 | RTK6: #539,grade8
越,<b>Meanings:</b> surpass; cross over; move to; exceed; Vietnam<br><br><b>On'yomi:</b> エツ; オツ<br><br><b>Kun'yomi:</b> こ.す; -こ.す; -ご.し; こ.える; -ご.え<br><br><b>Name readings:</b> えち; えっ; お; こえ; こし; ごえ; ごし; ごや<br><br><b>Stats:</b> Strokes: 12 | Radical: 156 | Freq: #897<br><br><b>Heisig:</b> RTK: #387 | RTK6: #413,grade8
煙,<b>Meanings:</b> smoke<br><br><b>On'yomi:</b> エン<br><br><b>Kun'yomi:</b> けむ.る; けむり; けむ.い<br><br><b>Name readings:</b> たば<br><br><b>Stats:</b> Strokes: 13 | Radical: 86 | Freq: #1290<br><br><b>Heisig:</b> RTK: #1612 | RTK6: #1739,grade8
汚,<b>Meanings:</b> dirty; pollute; disgrace; rape; defile<br><br><b>On'yomi:</b> オ<br><br><b>Kun'yomi:</b> けが.す; けが.れる; けが.らわしい; よご.す; よご.れる; きたな.い<br><br><b>Stats:</b> Strokes: 6 | Radical: 85 | Freq: #908<br><br><b>Heisig:</b> RTK: #1245 | RTK6: #1334,grade8
奥,<b>Meanings:</b> heart; interior<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> おく; おく.まる; くま<br><br><b>Name readings:</b> お; おお; おん; つ; のく<br><br><b>Stats:</b> Strokes: 12 | Radical: 37 | Freq: #1018<br><br><b>Heisig:</b> RTK: #928 | RTK6: #997,grade8
押,<b>Meanings:</b> push; stop; check; subdue; attach; seize; weight; shove; press; seal; do in spite of<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> お.す; お.し-; お.っ-; お.さえる; おさ.える<br><br><b>Name readings:</b> おし; おす; おや<br><br><b>Stats:</b> Strokes: 8 | Radical: 64 | Freq: #789<br><br><b>Heisig:</b> RTK: #1114 | RTK6: #1195,grade8
欧,<b>Meanings:</b> Europe<br><br><b>On'yomi:</b> オウ<br><br><b>Kun'yomi:</b> うた.う; は.く<br><br><b>Name readings:</b> おお; ひろ<br><br><b>Stats:</b> Strokes: 8 | Radical: 76 | Freq: #421<br><br><b>Heisig:</b> RTK: #1699 | RTK6: #1834,grade8
菓,<b>Meanings:</b> candy; cakes; fruit<br><br><b>On'yomi:</b> カ<br><br><b>Stats:</b> Strokes: 11 | Radical: 140 | Freq: #1719<br><br><b>Heisig:</b> RTK: #1122 | RTK6: #1203,grade8
介,<b>Meanings:</b> jammed in; shellfish; mediate; concern oneself with<br><br><b>On'yomi:</b> カイ<br><br><b>Name readings:</b> すけ; ゆき<br><br><b>Stats:</b> Strokes: 4 | Radical: 9 | Freq: #617<br><br><b>Heisig:</b> RTK: #250 | RTK6: #265,grade8
皆,<b>Meanings:</b> all; everything<br><br><b>On'yomi:</b> カイ<br><br><b>Kun'yomi:</b> みな; みんな<br><br><b>Name readings:</b> むな<br><br><b>Stats:</b> Strokes: 9 | Radical: 106 | Freq: #1267<br><br><b>Heisig:</b> RTK: #449 | RTK6: #484,grade8
較,<b>Meanings:</b> contrast; compare<br><br><b>On'yomi:</b> カク; コウ<br><br><b>Kun'yomi:</b> くら.べる<br><br><b>Stats:</b> Strokes: 13 | Radical: 159 | Freq: #1172<br><br><b>Heisig:</b> RTK: #1277 | RTK6: #1370,grade8
乾,<b>Meanings:</b> drought; dry; desiccate; drink up; heaven; emperor<br><br><b>On'yomi:</b> カン; ケン<br><br><b>Kun'yomi:</b> かわ.く; かわ.かす; ほ.す; ひ.る; いぬい<br><br><b>Stats:</b> Strokes: 11 | Radical: 5 | Freq: #1453<br><br><b>Heisig:</b> RTK: #463 | RTK6: #502,grade8
換,<b>Meanings:</b> interchange; period; change; convert; replace; renew<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> か.える; -か.える; か.わる<br><br><b>Stats:</b> Strokes: 12 | Radical: 64 | Freq: #687<br><br><b>Heisig:</b> RTK: #1043 | RTK6: #1122,grade8
汗,<b>Meanings:</b> sweat; perspire<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> あせ<br><br><b>Stats:</b> Strokes: 6 | Radical: 85 | Freq: #1502<br><br><b>Heisig:</b> RTK: #1651 | RTK6: #1780,grade8
環,<b>Meanings:</b> ring; circle; loop<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> わ<br><br><b>Name readings:</b> たま; たまき<br><br><b>Stats:</b> Strokes: 17 | Radical: 96 | Freq: #409<br><br><b>Heisig:</b> RTK: #836 | RTK6: #899,grade8
甘,<b>Meanings:</b> sweet; coax; pamper; be content; sugary<br><br><b>On'yomi:</b> カン<br><br><b>Kun'yomi:</b> あま.い; あま.える; あま.やかす; うま.い<br><br><b>Name readings:</b> かも<br><br><b>Stats:</b> Strokes: 5 | Radical: 99 | Freq: #1248<br><br><b>Heisig:</b> RTK: #1757 | RTK6: #1894,grade8
含,<b>Meanings:</b> contain; include; hold in the mouth; bear in mind; understand; cherish<br><br><b>On'yomi:</b> ガン<br><br><b>Kun'yomi:</b> ふく.む; ふく.める<br><br><b>Stats:</b> Strokes: 7 | Radical: 30 | Freq: #466<br><br><b>Heisig:</b> RTK: #1588 | RTK6: #1712,grade8
祈,<b>Meanings:</b> pray; wish<br><br><b>On'yomi:</b> キ<br><br><b>Kun'yomi:</b> いの.る<br><br><b>Name readings:</b> のり; れい<br><br><b>Stats:</b> Strokes: 8 | Radical: 113 | Freq: #1462<br><br><b>Heisig:</b> RTK: #1128 | RTK6: #1209,grade8
喫,<b>Meanings:</b> consume; eat; drink; smoke; receive (a blow)<br><br><b>On'yomi:</b> キツ<br><br><b>Kun'yomi:</b> の.む<br><br><b>Stats:</b> Strokes: 12 | Radical: 30 | Freq: #1347<br><br><b>Heisig:</b> RTK: #1550 | RTK6: #1670,grade8
詰,<b>Meanings:</b> packed; close; pressed; reprove; rebuke; blame<br><br><b>On'yomi:</b> キツ; キチ<br><br><b>Kun'yomi:</b> つ.める; つ.め; -づ.め; つ.まる; つ.む<br><br><b>Name readings:</b> ずめ; づめ<br><br><b>Stats:</b> Strokes: 13 | Radical: 149 | Freq: #1020<br><br><b>Heisig:</b> RTK: #343 | RTK6: #367,grade8
巨,<b>Meanings:</b> gigantic; big; large; great<br><br><b>On'yomi:</b> キョ<br><br><b>Name readings:</b> おお; か; こ; なお<br><br><b>Stats:</b> Strokes: 5 | Radical: 48 | Freq: #892<br><br><b>Heisig:</b> RTK: #856 | RTK6: #920,grade8
